sig,ensembl_id,gene_name,gene_id,rho,pval
down,ENSG00000005102,MEOX1,4222,0.36074664819253804,6.8258032328693e-14
down,ENSG00000005243,COPZ2,51226,0.563478145655117,2.6095984388676797e-35
down,ENSG00000007237,GAS7,8522,0.5646128682432527,1.7841291341343886e-35
down,ENSG00000008441,NFIX,4784,0.33060964089209843,8.749484628696917e-12
down,ENSG00000010295,IFFO1,25900,0.7301973725621158,1.166061125985668e-68
down,ENSG00000010327,STAB1,23166,0.7375180177717314,1.0584174112306749e-70
down,ENSG00000010671,BTK,695,0.8299694119304089,3.2591685218795954e-104
down,ENSG00000010810,FYN,2534,0.37734787345869153,3.747986668359675e-15
down,ENSG00000011028,AC080038.1,9902,0.542880442293341,2.0264825940874765e-32
down,ENSG00000011465,DCN,1634,0.5468595132873496,5.806809939527826e-33
down,ENSG00000012124,CD22,933,0.5174176034155782,4.1174201609551585e-29
down,ENSG00000013619,MAMLD1,10046,0.4568488159189772,2.817193089316166e-22
down,ENSG00000017427,IGF1,3479,0.5188753829060656,2.7083536184905277e-29
down,ENSG00000018236,CNTN1,1272,0.3462743779877039,7.493154915613978e-13
down,ENSG00000019991,HGF,3082,0.45091995136371055,1.1182929199399715e-21
down,ENSG00000020181,ADGRA2,25960,0.3164054214434948,7.220274189330276e-11
down,ENSG00000022267,FHL1,2273,0.3450033571161466,9.194371510104802e-13
down,ENSG00000023445,BIRC3,330,0.4448254351944471,4.4868332189644166e-21
down,ENSG00000023902,PLEKHO1,51177,0.6217613202334045,1.0862102540629758e-44
down,ENSG00000025423,HSD17B6,8630,0.3369476667403887,3.29144906704786e-12
down,ENSG00000026025,VIM,7431,0.6434515655378764,1.0372881052416934e-48
down,ENSG00000028277,POU2F2,5452,0.4952497323015017,1.8866789571281617e-26
down,ENSG00000035720,STAP1,26228,0.5977473438375831,1.361469573255423e-40
down,ENSG00000035862,TIMP2,7077,0.5666995908376727,8.8319226223285e-36
down,ENSG00000038295,TLL1,7092,0.32317091212447685,2.678954095255148e-11
down,ENSG00000048052,HDAC9,9734,0.3252019376305947,1.979647376592064e-11
down,ENSG00000048740,CELF2,10659,0.5987816297591303,9.21718939722616e-41
down,ENSG00000050628,PTGER3,5733,0.4311534610269188,9.164253417793622e-20
down,ENSG00000059804,SLC2A3,6515,0.4870036419244869,1.6481805987333187e-25
down,ENSG00000060709,RIMBP2,23504,0.4077117660776832,1.1868123191063615e-17
down,ENSG00000064205,CCN5,8839,0.3336960237726524,5.4505348351198615e-12
down,ENSG00000065320,NTN1,9423,0.4064098865537616,1.5378157854699272e-17
down,ENSG00000065534,MYLK,4638,0.4261055382966798,2.6978002789419007e-19
down,ENSG00000066056,TIE1,7075,0.315427408533813,8.315905828502849e-11
down,ENSG00000067798,NAV3,89795,0.4003081448502326,5.102173272688233e-17
down,ENSG00000068831,RASGRP2,10235,0.48454975803732064,3.1061732758475545e-25
down,ENSG00000069431,ABCC9,10060,0.3656918346720702,2.926144518464018e-14
down,ENSG00000069535,MAOB,4129,0.34930361520904957,4.584170587677282e-13
down,ENSG00000070808,CAMK2A,815,0.5231635738721465,7.806346153770557e-30
down,ENSG00000071282,LMCD1,29995,0.4758620805606167,2.811613847664162e-24
down,ENSG00000071967,CYBRD1,79901,0.49053859678653156,6.555541748486484e-26
down,ENSG00000072163,LIMS2,55679,0.3976227639151108,8.582297540185245e-17
down,ENSG00000072195,SPEG,10290,0.35806815720238994,1.0733856664460235e-13
down,ENSG00000072694,FCGR2B,2213,0.7307131145010043,8.415079289690854e-69
down,ENSG00000073712,FERMT2,10979,0.366838931453836,2.39914041768226e-14
down,ENSG00000074047,GLI2,2736,0.4558008933314145,3.60160627455697e-22
down,ENSG00000075213,SEMA3A,10371,0.3057588278248275,3.2698293059625196e-10
down,ENSG00000075884,ARHGAP15,55843,0.648417681699691,1.1199453822213208e-49
down,ENSG00000077782,FGFR1,2260,0.4208807382621898,8.093349641704851e-19
down,ENSG00000078053,AMPH,273,0.386502581296358,7.034679156690611e-16
down,ENSG00000079102,RUNX1T1,862,0.39641722842328186,1.0822484107100646e-16
down,ENSG00000079308,TNS1,7145,0.32603444086189665,1.7476450539110964e-11
down,ENSG00000079819,EPB41L2,2037,0.32351877632916115,2.5440941988048118e-11
down,ENSG00000079931,MOXD1,26002,0.4705362095577176,1.0521983944661469e-23
down,ENSG00000081041,CXCL2,2920,0.4222202412096813,6.117842308515004e-19
down,ENSG00000081189,MEF2C,4208,0.35650313783722026,1.3956460893754237e-13
down,ENSG00000082397,EPB41L3,23136,0.38627228642082917,7.341793248891349e-16
down,ENSG00000084636,COL16A1,1307,0.5644557069518926,1.880778110782002e-35
down,ENSG00000085265,FCN1,2219,0.5860082819456952,1.0338416507996919e-38
down,ENSG00000087245,MMP2,4313,0.4505675126517066,1.212774791509768e-21
down,ENSG00000087258,GNAO1,2775,0.31200662141445745,1.357562233207816e-10
down,ENSG00000088320,REM1,28954,0.4276813963715984,1.9296063990709448e-19
down,ENSG00000089041,P2RX7,5027,0.6422295010136804,1.7825687531128877e-48
