sig,ensembl_id,gene_name,gene_id,rho,pval
up,ENSG00000006377,DLX6,1750,-0.38128690985717245,1.8364333005392952e-15
up,ENSG00000043514,TRIT1,54802,-0.41492766725515046,2.7650900641009936e-18
up,ENSG00000049283,EPN3,55040,-0.4733454224794875,5.260609106640137e-24
up,ENSG00000059588,TARBP1,6894,-0.35494191202046266,1.8108985890593693e-13
up,ENSG00000061656,SPAG4,6676,-0.39707280764994257,9.541218523192508e-17
up,ENSG00000064547,LPAR2,9170,-0.41229313820550134,4.725794650384378e-18
up,ENSG00000067606,PRKCZ,5590,-0.46018171916678485,1.282523626638464e-22
up,ENSG00000073350,LLGL2,3993,-0.4153296930642559,2.546880792488702e-18
up,ENSG00000076944,STXBP2,6813,-0.3530493829757116,2.478476393952818e-13
up,ENSG00000079462,PAFAH1B3,5050,-0.33942810546644,2.23126188601623e-12
up,ENSG00000083307,GRHL2,79977,-0.399201783280373,6.324875208285964e-17
up,ENSG00000088035,ALG6,29929,-0.30672609234734155,2.8576477521362004e-10
up,ENSG00000088386,SLC15A1,6564,-0.35717186042640886,1.247763590002316e-13
up,ENSG00000089723,OTUB2,78990,-0.3137555375550347,1.0574937937457587e-10
up,ENSG00000099849,RASSF7,8045,-0.31947331823794023,4.619917855292353e-11
up,ENSG00000100416,TRMU,55687,-0.4251878608712672,3.2765179089834375e-19
up,ENSG00000101158,NELFCD,51497,-0.4717086869848121,7.884642365843122e-24
up,ENSG00000102890,ELMO3,79767,-0.33990410546958216,2.070035192168883e-12
up,ENSG00000103995,CEP152,22995,-0.303154105226988,4.688554000334817e-10
up,ENSG00000104835,SARS2,54938,-0.4321335770461495,7.415438039485552e-20
up,ENSG00000105486,LIG1,3978,-0.31018373107984354,1.7582291199492584e-10
up,ENSG00000106327,TFR2,7036,-0.34260962806808704,1.3482688233125344e-12
up,ENSG00000106367,AP1S1,1174,-0.32066259566514566,3.8803024175213034e-11
up,ENSG00000108511,HOXB6,3216,-0.378091137979727,3.2783685372823323e-15
up,ENSG00000108773,KAT2A,2648,-0.49358282906469164,2.9379444431375777e-26
up,ENSG00000110583,NAA40,79829,-0.3665274991937157,2.5322326080009625e-14
up,ENSG00000110921,MVK,4598,-0.41371183498905995,3.543117885899302e-18
up,ENSG00000111371,SLC38A1,81539,-0.4392391641898291,1.5647160756766995e-20
up,ENSG00000112812,PRSS16,10279,-0.3435886345261625,1.153326905143383e-12
up,ENSG00000114631,PODXL2,50512,-0.33418506027053924,5.054275608965784e-12
up,ENSG00000114859,CLCN2,1181,-0.32634027312198005,1.669262107925897e-11
up,ENSG00000115275,MOGS,7841,-0.3088671891356689,2.1169740937046227e-10
up,ENSG00000117308,GALE,2582,-0.4419958996918978,8.471785204898288e-21
up,ENSG00000117616,RSRP1,57035,-0.42021876406427155,9.28939655427341e-19
up,ENSG00000120075,HOXB5,3215,-0.4020069316859871,3.6628582898359096e-17
up,ENSG00000123159,GIPC1,10755,-0.36379912498215666,4.05359318457542e-14
up,ENSG00000123415,SMUG1,23583,-0.43188049317351107,7.832696425382059e-20
up,ENSG00000124766,SOX4,6659,-0.32180264728557467,3.2803456135791195e-11
up,ENSG00000124839,RAB17,64284,-0.3272145957083967,1.463620294331461e-11
up,ENSG00000125505,MBOAT7,79143,-0.3946583767987681,1.5154585757315386e-16
up,ENSG00000125895,TMEM74B,55321,-0.3396937441778709,2.1398320564952974e-12
up,ENSG00000129173,E2F8,79733,-0.3803902089626456,2.1620905815134753e-15
up,ENSG00000129354,AP1M2,10053,-0.4975266742520161,1.0262373034131465e-26
up,ENSG00000130193,THEM6,51337,-0.48722122902269743,1.5577345351911748e-25
up,ENSG00000130299,GTPBP3,84705,-0.41231373175402436,4.706123543803903e-18
up,ENSG00000131591,C1orf159,54991,-0.4702329063299089,1.1335388874176963e-23
up,ENSG00000131797,CLUHP3,100132341,-0.42892983508951704,1.477829676941394e-19
up,ENSG00000132196,HSD17B7,51478,-0.34848511197784,5.237809284095284e-13
