sig,ensembl_id,gene_name,gene_id,rho,pval
down,ENSG00000028137,TNFRSF1B,7133,0.5346330428149738,8.47272881384071e-81
down,ENSG00000073737,DHRS9,10170,0.31951056397153266,4.947932482645872e-27
down,ENSG00000077420,APBB1IP,54518,0.48115569222745247,1.312375424655362e-63
down,ENSG00000079215,SLC1A3,6507,0.40943360487130404,7.249571577696724e-45
down,ENSG00000085265,FCN1,2219,0.5156251789337059,2.461802245562688e-74
down,ENSG00000090659,CD209,30835,0.4256369321090798,1.0247977849890446e-48
down,ENSG00000100060,MFNG,4242,0.37675999989123743,1.0099920947781153e-37
down,ENSG00000100979,PLTP,5360,0.45066117522326576,4.341090996726366e-55
down,ENSG00000104921,FCER2,2208,0.30249680318285943,2.8705620353194257e-24
down,ENSG00000105609,LILRB5,10990,0.4857482343870411,5.7371027480847475e-65
down,ENSG00000106178,CCL24,6369,0.363639304757198,4.4915612462594576e-35
down,ENSG00000107317,PTGDS,5730,0.3028728510502034,2.5051208851442887e-24
down,ENSG00000108691,CCL2,6347,0.4277547346685448,3.1027373922763843e-49
down,ENSG00000108700,CCL8,6355,0.5070771593785262,1.4686657413195025e-71
down,ENSG00000110079,MS4A4A,51338,0.5827434081984871,3.8829597887012475e-99
down,ENSG00000110203,FOLR3,2352,0.3548758598239476,2.257884322386062e-33
down,ENSG00000112096,SOD2,6648,0.3184871550259068,7.341615140673249e-27
down,ENSG00000115138,POMC,5443,0.31357165236970236,4.7824830725215375e-26
down,ENSG00000117594,HSD11B1,3290,0.3667835928875808,1.0688735732035987e-35
down,ENSG00000118308,LRMP,4033,0.30698965554561003,5.568168828654534e-25
down,ENSG00000118849,RARRES1,5918,0.3225556880085433,1.5155929537055566e-27
down,ENSG00000120949,TNFRSF8,943,0.49819633845241784,9.29709374044868e-69
down,ENSG00000122223,CD244,51744,0.4974490489640998,1.5861049354012875e-68
down,ENSG00000125730,C3,718,0.3631650116910839,5.569822236461853e-35
down,ENSG00000126467,TSKS,60385,0.30970623241468925,2.0370061531117215e-25
down,ENSG00000129538,RNASE1,6035,0.4243833585232501,2.0703543001394345e-48
down,ENSG00000130598,TNNI2,7136,0.4163719761807132,1.7284267074299857e-46
down,ENSG00000132205,EMILIN2,84034,0.5967059512774017,4.712213250893942e-105
down,ENSG00000133048,CHI3L1,1116,0.3425575742914585,4.531936000427193e-31
down,ENSG00000135604,STX11,8676,0.436525546576582,2.009290863060272e-51
down,ENSG00000136717,BIN1,274,0.36844647625126753,4.970298888782225e-36
down,ENSG00000136732,GYPC,2995,0.3501213199864064,1.7972827114585404e-32
down,ENSG00000137265,IRF4,3662,0.3995532680466041,1.2760951851176902e-42
down,ENSG00000137474,MYO7A,4647,0.38436069547172713,2.5921542026353372e-39
down,ENSG00000137731,FXYD2,486,0.36914744292689855,3.594320206477669e-36
down,ENSG00000147872,PLIN2,123,0.34067617744358736,9.976515877004503e-31
down,ENSG00000155659,VSIG4,11326,0.5193943196600189,1.3868746668519956e-75
down,ENSG00000159403,C1R,715,0.35319647457646225,4.7171866838322933e-33
down,ENSG00000164687,FABP5,2171,0.4217029920458695,9.220360434389536e-48
down,ENSG00000167633,KIR3DL1,3811,0.30900001497808127,2.648291729692154e-25
down,ENSG00000172005,MAL,4118,0.3630983907129645,5.740559525980729e-35
down,ENSG00000175040,CHST2,9435,0.34898873148340664,2.930598907463752e-32
down,ENSG00000181374,CCL13,6357,0.5166560534663567,1.1249809390510917e-74
down,ENSG00000182326,C1S,716,0.30915878482043585,2.496719012803067e-25
down,ENSG00000185339,TCN2,6948,0.38169984518259936,9.447470252683337e-39
down,ENSG00000196154,S100A4,6275,0.5154056951035862,2.9074683230601784e-74
down,ENSG00000197646,PDCD1LG2,80380,0.4793484817319902,4.4395057992719795e-63
down,ENSG00000197943,PLCG2,5336,0.3327311496243966,2.6322896477893024e-29
down,ENSG00000198053,SIRPA,140885,0.43248013593054163,2.0919594818055908e-50
down,ENSG00000203710,CR1,1378,0.442425381451534,6.225703169211553e-53
down,ENSG00000244509,APOBEC3C,27350,0.32721329368168545,2.416385421574462e-28
down,ENSG00000254838,GVINP1,387751,0.3080834552662306,3.7189734341220735e-25
down,ENSG00000274736,CCL23,6368,0.3486409312675498,3.4039902237457723e-32
down,ENSG00000275385,CCL18,6362,0.5250292777510371,1.7574809554305543e-77
