sig,ensembl_id,gene_name,gene_id,rho,pval
up,ENSG00000075275,CELSR1,9620,-0.3029797188912861,2.409941626238806e-24
up,ENSG00000085831,TTC39A,22996,-0.32117384539786553,2.597109942461236e-27
up,ENSG00000091831,ESR1,2099,-0.31593321867653695,1.9523161626166738e-26
up,ENSG00000106537,TSPAN13,27075,-0.3779440249657728,5.745030386127498e-38
up,ENSG00000106789,CORO2A,7464,-0.3154653682518258,2.3329979036608568e-26
up,ENSG00000108176,DNAJC12,56521,-0.37041943105621594,1.9920028826074272e-36
up,ENSG00000108932,SLC16A6,9120,-0.32652446203184354,3.1767161848280547e-28
up,ENSG00000115648,MLPH,79083,-0.3937474805040047,2.4570977758665496e-41
up,ENSG00000116128,BCL9,607,-0.3009041966300135,5.09873470654246e-24
up,ENSG00000124664,SPDEF,25803,-0.3438000428509329,2.6833332970993525e-31
up,ENSG00000129354,AP1M2,10053,-0.3065444139779828,6.559235575532782e-25
up,ENSG00000129514,FOXA1,3169,-0.44723058659980897,3.492366867578384e-54
up,ENSG00000130202,NECTIN2,5819,-0.305489464400295,9.658813864945607e-25
up,ENSG00000132749,TESMIN,9633,-0.3496126190285806,2.239217305470814e-32
up,ENSG00000134215,VAV3,10451,-0.37780358578731044,6.143392616210411e-38
up,ENSG00000162482,AKR7A3,22977,-0.31385612096750326,4.2950553823536616e-26
up,ENSG00000178935,ZNF552,79818,-0.3260484934377222,3.8361581115125553e-28
up,ENSG00000183248,PRR36,80164,-0.35736892826870714,7.500927842744273e-34
up,ENSG00000204385,SLC44A4,80736,-0.3241526003511464,8.104918352328116e-28
