sig,ensembl_id,gene_name,gene_id,rho,pval
down,ENSG00000000971,CFH,3075,0.760483612738525,8.215057539256861e-55
down,ENSG00000003137,CYP26B1,56603,0.5372586083079433,1.2206217123960654e-22
down,ENSG00000003989,SLC7A2,6542,0.34384159062573727,2.6584859287756377e-09
down,ENSG00000005102,MEOX1,4222,0.597511369148474,7.13231241396852e-29
down,ENSG00000005108,THSD7A,221981,0.5777625792638542,1.0940848891218137e-26
down,ENSG00000005249,PRKAR2B,5577,0.5306238133138783,4.997435466481436e-22
down,ENSG00000005844,ITGAL,3683,0.7756824247698184,2.6180160325020184e-58
down,ENSG00000007038,PRSS21,10942,0.43346522450725256,1.9437301035328805e-14
down,ENSG00000007237,GAS7,8522,0.6641144531380085,1.706382282815437e-37
down,ENSG00000007264,MATK,4145,0.7803371804666298,1.957332096666991e-59
down,ENSG00000007350,TKTL1,8277,0.3450140848418344,2.3287258342350158e-09
down,ENSG00000008516,MMP25,64386,0.6530805603852352,6.473296994749994e-36
down,ENSG00000009694,TENM1,10178,0.44559470253045147,2.9359214327238664e-15
down,ENSG00000009790,TRAF3IP3,80342,0.7405766083102433,1.3141087126328023e-50
down,ENSG00000010319,SEMA3G,56920,0.482734314115334,5.512955182312839e-18
down,ENSG00000010327,STAB1,23166,0.7520207063202595,5.631703598328462e-53
down,ENSG00000010671,BTK,695,0.84549721160677,8.141797774967289e-79
down,ENSG00000011465,DCN,1634,0.7238163444664181,2.34189701745146e-47
down,ENSG00000012124,CD22,933,0.5722316188509013,4.2172203836870884e-26
down,ENSG00000013297,CLDN11,5010,0.44390993199048406,3.834699041479305e-15
down,ENSG00000015285,WAS,7454,0.8334632143379345,1.28584875920029e-74
down,ENSG00000017427,IGF1,3479,0.5786610823839246,8.766110304243752e-27
down,ENSG00000018236,CNTN1,1272,0.5960490452159203,1.0477869151294733e-28
down,ENSG00000018625,ATP1A2,477,0.3282179248136805,1.4743205638632725e-08
down,ENSG00000022267,FHL1,2273,0.49638529545374843,4.4983364649999525e-19
down,ENSG00000022556,NLRP2,55655,0.38779511013377593,1.2586392446200173e-11
down,ENSG00000026103,FAS,355,0.34596962862691316,2.0896251656751264e-09
down,ENSG00000026751,SLAMF7,57823,0.783646064763879,2.979307535106071e-60
down,ENSG00000028277,POU2F2,5452,0.6422046202315151,2.0153320133740334e-34
down,ENSG00000030304,MUSK,4593,0.35789939258945297,5.238199268811733e-10
down,ENSG00000034239,EFCAB1,79645,0.31868971241023875,4.00124619693414e-08
down,ENSG00000034971,MYOC,4653,0.33269226705680277,9.115157593258354e-09
down,ENSG00000035720,STAP1,26228,0.5168308190153666,8.493965295896494e-21
down,ENSG00000038295,TLL1,7092,0.605914014703598,7.526520778038967e-30
down,ENSG00000042980,ADAM28,10863,0.5176141401694866,7.25651074571819e-21
down,ENSG00000044524,EPHA3,2042,0.4532453759003691,8.568395089905913e-16
down,ENSG00000046889,PREX2,80243,0.5374304439712583,1.176376739716151e-22
down,ENSG00000047457,CP,1356,0.6049723374384164,9.716019478939756e-30
down,ENSG00000048052,HDAC9,9734,0.4245391281762356,7.449546271319796e-14
down,ENSG00000048462,TNFRSF17,608,0.493607952508696,7.558510582562318e-19
down,ENSG00000048540,LMO3,55885,0.38002688081781444,3.4411284264975915e-11
down,ENSG00000053524,MCF2L2,23101,0.30823755552039206,1.1502052329558905e-07
down,ENSG00000054356,PTPRN,5798,0.4249035487765486,7.057371980568771e-14
down,ENSG00000058668,ATP2B4,493,0.4985811771085807,2.974377078773215e-19
down,ENSG00000059915,PSD,5662,0.4466627078834378,2.476769124390372e-15
down,ENSG00000063127,SLC6A16,28968,0.35736332157188333,5.581152865511904e-10
down,ENSG00000064205,CCN5,8839,0.527095345345902,1.0443749620995304e-21
down,ENSG00000064300,NGFR,4804,0.43553739646222406,1.4148350166107191e-14
down,ENSG00000064655,EYA2,2139,0.30446555315494,1.667082655995562e-07
