sig,ensembl_id,gene_name,gene_id,rho,pval
up,ENSG00000003147,ICA1,3382,-0.382201544959341,2.6036344661633907e-11
up,ENSG00000005801,ZNF195,7748,-0.39446369598236464,5.195996514960428e-12
up,ENSG00000006625,GGCT,79017,-0.4121585781900742,4.502393478569412e-13
up,ENSG00000006704,GTF2IRD1,9569,-0.32804868822188527,1.5011522768591362e-08
up,ENSG00000011478,QPCTL,54814,-0.366053969555293,1.9671917396069796e-10
up,ENSG00000037897,METTL1,4234,-0.3014817421171022,2.2277070453935563e-07
up,ENSG00000048162,NOP16,51491,-0.355637218300645,6.840032829717539e-10
up,ENSG00000059588,TARBP1,6894,-0.33866739876985025,4.73826502995675e-09
up,ENSG00000067533,RRP15,51018,-0.3359609870726384,6.3837060796344445e-09
up,ENSG00000071462,BUD23,114049,-0.39920829867996416,2.7352324209888853e-12
up,ENSG00000075914,EXOSC7,23016,-0.34915618479189403,1.4521663703865743e-09
up,ENSG00000077348,EXOSC5,56915,-0.3470794879340257,1.8417080957460875e-09
up,ENSG00000100726,TELO2,9894,-0.31696319238119575,4.777122474478347e-08
up,ENSG00000100814,CCNB1IP1,57820,-0.3164317067701192,5.043859849672945e-08
up,ENSG00000102125,TAZ,6901,-0.3218382434939338,2.8878323918312804e-08
up,ENSG00000102878,HSF4,3299,-0.3191051134466333,3.833569266989589e-08
up,ENSG00000102898,NUTF2,10204,-0.3674056037362467,1.667944029188638e-10
up,ENSG00000104731,KLHDC4,54758,-0.3569474652334222,5.862112647952423e-10
up,ENSG00000104907,TRMT1,55621,-0.3311364912693817,1.0783432278547916e-08
up,ENSG00000105185,PDCD5,9141,-0.37280873518014795,8.557579823170161e-11
up,ENSG00000105677,TMEM147,10430,-0.30436994337276013,1.682725298993548e-07
up,ENSG00000105821,DNAJC2,27000,-0.32170124646357745,2.92932868384288e-08
up,ENSG00000105865,DUS4L,11062,-0.30661847589394353,1.349702789711322e-07
up,ENSG00000105982,RNF32,140545,-0.3508834475417406,1.190151735482155e-09
up,ENSG00000106028,SSBP1,6742,-0.4074894155397837,8.70685118784454e-13
up,ENSG00000108375,RNF43,54894,-0.30408442374926414,1.7302836399491614e-07
up,ENSG00000108773,KAT2A,2648,-0.3003286619495522,2.489632443570299e-07
up,ENSG00000109065,NAT9,26151,-0.30908547021879257,1.0573781457611235e-07
up,ENSG00000114021,NIT2,56954,-0.39529903733954697,4.644368420049623e-12
up,ENSG00000115541,HSPE1,3336,-0.33349163524631087,8.357979077515745e-09
up,ENSG00000116455,WDR77,79084,-0.3224993916863227,2.6954173081281103e-08
up,ENSG00000118939,UCHL3,7347,-0.3569954010968165,5.82903940496974e-10
up,ENSG00000124802,EEF1E1,9521,-0.35862836378752677,4.804486263143214e-10
up,ENSG00000125743,SNRPD2,6633,-0.32163052141922516,2.950975860906781e-08
up,ENSG00000128534,LSM8,51691,-0.4214772576450016,1.170449135478502e-13
up,ENSG00000130332,LSM7,51690,-0.31807960030352606,4.2604030503505976e-08
up,ENSG00000130810,PPAN,56342,-0.3216711228335755,2.9385299772321876e-08
up,ENSG00000133627,ACTR3B,57180,-0.317283026748433,4.623217718335478e-08
up,ENSG00000134905,CARS2,79587,-0.32474844809672354,2.1292034406637546e-08
up,ENSG00000135632,SMYD5,10322,-0.32170177035279485,2.929168907589776e-08
up,ENSG00000136261,BZW2,28969,-0.31494490917107015,5.868526313993529e-08
up,ENSG00000136270,TBRG4,9238,-0.38122344379041057,2.9523476920374744e-11
up,ENSG00000136933,RABEPK,10244,-0.3120443965188028,7.866781718339969e-08
up,ENSG00000138363,ATIC,471,-0.35012066484117144,1.2996562862744652e-09
up,ENSG00000138430,OLA1,29789,-0.3960950870054226,4.172050744666113e-12
up,ENSG00000139343,SNRPF,6636,-0.3868023400667576,1.4333978406172548e-11
up,ENSG00000140988,RPS2,6187,-0.3866763447099672,1.4572007720205664e-11
up,ENSG00000141378,PTRH2,51651,-0.3299435955213076,1.2258824854323136e-08
up,ENSG00000142684,ZNF593,51042,-0.3409730352157328,3.6673151317686186e-09
up,ENSG00000143256,PFDN2,5202,-0.35468085853423764,7.651950494291521e-10
up,ENSG00000143499,SMYD2,56950,-0.3052288597447266,1.547116539817022e-07
up,ENSG00000143793,C1orf35,79169,-0.33618102054395643,6.231531407451404e-09
up,ENSG00000154743,TSEN2,80746,-0.385849909469481,1.6231544718501715e-11
up,ENSG00000159708,LRRC36,55282,-0.37637144380323917,5.473759608114266e-11
up,ENSG00000160867,FGFR4,2264,-0.30836538448944345,1.1357252863379177e-07
up,ENSG00000162836,ACP6,51205,-0.3674587784918152,1.6571249591196362e-10
up,ENSG00000163931,TKT,7086,-0.31676306670013976,4.87592320557604e-08
up,ENSG00000164690,SHH,6469,-0.3277191619041257,1.5547572616954513e-08
up,ENSG00000166012,TAF1D,79101,-0.39835252564330215,3.07317165266166e-12
up,ENSG00000167393,PPP2R3B,28227,-0.31544417559527516,5.578081864090571e-08
up,ENSG00000170231,FABP6,2172,-0.31917898182629006,3.804470804528221e-08
up,ENSG00000171159,C9orf16,79095,-0.4040443200460041,1.4071838275529313e-12
up,ENSG00000171163,ZNF692,55657,-0.3788819209331345,3.98209664135582e-11
up,ENSG00000171490,RSL1D1,26156,-0.34788706316268464,1.679487257400517e-09
up,ENSG00000171858,RPS21,6227,-0.36888480494164305,1.391135281940885e-10
up,ENSG00000171960,PPIH,10465,-0.36066314950800116,3.7702550146613654e-10
up,ENSG00000173272,MZT2A,653784,-0.3090092443376574,1.0654188233819703e-07
up,ENSG00000175832,ETV4,2118,-0.3543183271957804,7.983547605621231e-10
up,ENSG00000176153,GPX2,2877,-0.38972721356763523,9.760338119568604e-12
up,ENSG00000177192,PUS1,80324,-0.33780036211501363,5.214678638341085e-09
up,ENSG00000179456,ZBTB18,10472,-0.31691866179771466,4.798938547511269e-08
up,ENSG00000185163,DDX51,317781,-0.33541378478503914,6.777901393149387e-09
up,ENSG00000186184,POLR1D,51082,-0.31335411956236253,6.894421930083975e-08
up,ENSG00000186416,NKRF,55922,-0.3059052007244209,1.447794238109735e-07
up,ENSG00000197958,RPL12,6136,-0.42850287399526477,4.122324930829181e-14
up,ENSG00000198088,NUP62CL,54830,-0.3280992435313667,1.493087928304299e-08
up,ENSG00000214160,ALG3,10195,-0.31968165353040834,3.612039510713019e-08
up,ENSG00000217930,PAM16,51025,-0.3314969270509694,1.037247974907609e-08
up,ENSG00000223705,NSUN5P1,155400,-0.33169259967367726,1.0155766202261393e-08
up,ENSG00000236699,ARHGEF38,54848,-0.36134158604456507,3.4761949772158754e-10
up,ENSG00000239672,NME1,4830,-0.34020029862003254,3.997076127551398e-09
up,ENSG00000240889,NDUFB2-AS1,100134713,-0.3463227299594569,2.0074368984785647e-09
up,ENSG00000241343,RPL36A,6173,-0.42571578335856963,6.254502939267973e-14
