sig,ensembl_id,gene_name,gene_id,rho,pval
down,ENSG00000064886,CHI3L2,1117,0.3451384257196416,2.3824120188106774e-15
down,ENSG00000072858,SIDT1,54847,0.3116840563901518,1.1699146964512882e-12
down,ENSG00000104112,SCG3,29106,0.30844044635332174,2.0498688643818304e-12
down,ENSG00000107317,PTGDS,5730,0.3930353943112384,8.296476522387356e-20
down,ENSG00000107562,CXCL12,6387,0.3383981094432585,8.831503711149725e-15
down,ENSG00000108691,CCL2,6347,0.443191142065125,2.507523762463157e-25
down,ENSG00000109610,SOD3,6649,0.33844840228666423,8.746615130035579e-15
down,ENSG00000112782,CLIC5,53405,0.3791999352203214,1.922167953450646e-18
down,ENSG00000117115,PADI2,11240,0.31084364293790534,1.353787778972462e-12
down,ENSG00000124212,PTGIS,5740,0.365357224028762,3.851862772826079e-17
down,ENSG00000124406,ATP8A1,10396,0.3071425979679773,2.5606409556840794e-12
down,ENSG00000127903,ZNF835,90485,0.33583928552976183,1.4402731134676118e-14
down,ENSG00000135363,LMO2,4005,0.3299885008698107,4.332618245137995e-14
down,ENSG00000135472,FAIM2,23017,0.31477658383653007,6.80976394473602e-13
down,ENSG00000135929,CYP27A1,1593,0.40055654485997344,1.4105589230718195e-20
down,ENSG00000138135,CH25H,9023,0.32037450332920636,2.515998349869982e-13
down,ENSG00000141469,SLC14A1,6563,0.3045693297956444,3.967502314630689e-12
down,ENSG00000143196,DPT,1805,0.38894666923062593,2.1331241575573434e-19
down,ENSG00000145708,CRHBP,1393,0.3397177491097239,6.850428651783525e-15
down,ENSG00000158481,CD1C,911,0.33195563197738825,2.9996844435645385e-14
down,ENSG00000163815,CLEC3B,7123,0.32899085507817044,5.2154502442230426e-14
down,ENSG00000173198,CYSLTR1,10800,0.4259170899320936,2.5455765621011505e-23
down,ENSG00000174175,SELP,6403,0.31207696617454317,1.0925618203008126e-12
down,ENSG00000175445,LPL,4023,0.3019583784344045,6.15980668873769e-12
down,ENSG00000177301,KCNA2,3737,0.30471302449915383,3.872104886873455e-12
down,ENSG00000183549,ACSM5,54988,0.49731583319520484,2.069188880073468e-32
down,ENSG00000188783,PRELP,5549,0.31249538894655143,1.015687978747214e-12
down,ENSG00000197769,MAP1LC3C,440738,0.3241568038537865,1.2687949811893565e-13
down,ENSG00000213088,ACKR1,2532,0.31368746129899644,8.245448405957317e-13
down,ENSG00000266524,GDF10,2662,0.3061317053640377,3.0428317590023703e-12
down,ENSG00000274736,CCL23,6368,0.5376024106807863,1.435777742932339e-38
