sig,ensembl_id,gene_name,gene_id,rho,pval
up,ENSG00000112715,VEGFA,7422,-0.32276681023511555,1.6335830846536349e-13
up,ENSG00000133818,RRAS2,22800,-0.3315288108405899,3.249518413623742e-14
up,ENSG00000136518,ACTL6A,86,-0.30908339341870456,1.8351982225516765e-12
up,ENSG00000147804,SLC39A4,55630,-0.3059282384079589,3.150100554157208e-12
up,ENSG00000169750,RAC3,5881,-0.30649221228556706,2.8614726530748947e-12
up,ENSG00000170537,TMC7,79905,-0.3103472149393902,1.4753802736767114e-12
up,ENSG00000175505,CLCF1,23529,-0.305652140961507,3.3015910783090004e-12
up,ENSG00000177426,TGIF1,7050,-0.35832971557759546,1.6706380720815253e-16
up,ENSG00000178053,MLF1,4291,-0.3414127475202903,4.934553464386273e-15
up,ENSG00000197696,NMB,4828,-0.31782921624850613,3.9668722408075123e-13
