sig,ensembl_id,gene_name,gene_id,rho,pval
down,ENSG00000100285,NEFH,4744,0.3203983093541003,4.796015820656658e-14
down,ENSG00000117115,PADI2,11240,0.3791901530053734,1.82385641327172e-19
down,ENSG00000133216,EPHB2,2048,0.4016171110348894,7.601564546634859e-22
down,ENSG00000147488,ST18,9705,0.3061816285534732,6.698867224129088e-13
down,ENSG00000151490,PTPRO,5800,0.37423529083227125,5.788030945524185e-19
down,ENSG00000152315,KCNK13,56659,0.40339741616785957,4.831166372697899e-22
down,ENSG00000162493,PDPN,10630,0.3889054238727751,1.787891741391095e-20
down,ENSG00000170396,ZNF804A,91752,0.44943953735037884,1.4525474792736305e-27
down,ENSG00000180340,FZD2,2535,0.3209265344591805,4.336542480358998e-14
down,ENSG00000185527,AC139530.1,5148,0.3596001962910976,1.5643485005203223e-17
down,ENSG00000187554,TLR5,7100,0.3440438542092671,4.337787169102812e-16
down,ENSG00000203710,CR1,1378,0.37604330882290804,3.8064248596451876e-19
