sig,ensembl_id,gene_name,gene_id,rho,pval
down,ENSG00000005249,PRKAR2B,5577,0.3493887134422915,4.314201315177125e-12
down,ENSG00000011465,DCN,1634,0.34312678700506516,1.0895389982567226e-11
down,ENSG00000019991,HGF,3082,0.34968704965107217,4.125793319314184e-12
down,ENSG00000048462,TNFRSF17,608,0.42430350419156465,1.204103540018228e-17
down,ENSG00000062524,LTK,4058,0.33579261942180666,3.141786869832882e-11
down,ENSG00000064205,CCN5,8839,0.44299248225703325,2.901698566860183e-19
down,ENSG00000072694,FCGR2B,2213,0.5177545589902518,7.861841997170377e-27
down,ENSG00000073756,PTGS2,5743,0.3053340145331521,1.90966125645766e-09
down,ENSG00000081237,PTPRC,5788,0.3470906198734328,6.07574137407572e-12
down,ENSG00000085265,FCN1,2219,0.5350906070041513,7.211331847979415e-29
down,ENSG00000087116,ADAMTS2,9509,0.3056988503096947,1.8229003214371553e-09
down,ENSG00000092068,SLC7A8,23428,0.4186068264305321,3.5828570629217885e-17
down,ENSG00000099960,SLC7A4,6545,0.30978576392718105,1.0780694333572632e-09
down,ENSG00000099998,GGT5,2687,0.3805445782578964,3.134941124538542e-14
down,ENSG00000100292,HMOX1,3162,0.416998818940511,4.8560648661137914e-17
down,ENSG00000100362,PVALB,5816,0.42180919078636214,1.9459082349867402e-17
down,ENSG00000100721,AL139020.1,8115,0.40472767055951925,4.687926960142681e-16
down,ENSG00000101307,SIRPB1,10326,0.3877573394756277,9.277689058651814e-15
down,ENSG00000101955,SRPX,8406,0.3278179127838644,9.630836903323869e-11
down,ENSG00000103175,WFDC1,58189,0.3590002154281324,9.993956682845613e-13
down,ENSG00000104972,LILRB1,10859,0.562263642307023,2.612748453069165e-32
down,ENSG00000104974,LILRA1,11024,0.4163997034554654,5.4363192970499615e-17
down,ENSG00000105352,CEACAM4,1089,0.5337599866866901,1.0437530679334972e-28
down,ENSG00000105609,LILRB5,10990,0.35551488710010865,1.708236212254861e-12
down,ENSG00000105697,HAMP,57817,0.43034685100625814,3.701491832251612e-18
down,ENSG00000105989,WNT2,7472,0.3662815650442969,3.192331298434381e-13
down,ENSG00000107562,CXCL12,6387,0.346119470300541,7.0157488146263485e-12
down,ENSG00000108691,CCL2,6347,0.42882733848731036,4.990600429398349e-18
down,ENSG00000109272,PF4V1,5197,0.3057683347694234,1.806815662906497e-09
down,ENSG00000110848,CD69,969,0.34464929202395034,8.714488405084181e-12
down,ENSG00000116711,PLA2G4A,5321,0.3498528089251317,4.02460863857573e-12
down,ENSG00000116748,AMPD1,270,0.3912401541173705,5.098133755270269e-15
down,ENSG00000122025,FLT3,2322,0.36884688827718837,2.1206869150594253e-13
down,ENSG00000122223,CD244,51744,0.4441984095735065,2.263462103674457e-19
down,ENSG00000122877,EGR2,1959,0.3078682978661065,1.3807325363746828e-09
down,ENSG00000124212,PTGIS,5740,0.4116708667570292,1.3146199765313563e-16
down,ENSG00000125384,PTGER2,5732,0.37784615721234766,4.906002757002471e-14
down,ENSG00000125538,IL1B,3553,0.40680886125801996,3.2122955696852777e-16
down,ENSG00000125968,ID1,3397,0.34128792773699146,1.4246168065011445e-11
down,ENSG00000126759,CFP,5199,0.4434669629804936,2.6318293687310044e-19
down,ENSG00000128383,APOBEC3A,200315,0.3192097443896933,3.112804445273919e-10
down,ENSG00000129009,ISLR,3671,0.4391049820511112,6.419599782336131e-19
down,ENSG00000129450,SIGLEC9,27180,0.6140119906190589,8.122834882183161e-40
down,ENSG00000130558,OLFM1,10439,0.31467885918203187,5.6871416096777e-10
down,ENSG00000131037,EPS8L1,54869,0.3586960041463154,1.0475421550000077e-12
down,ENSG00000132465,JCHAIN,3512,0.47742585319012687,1.6122770354674313e-22
down,ENSG00000132693,CRP,1401,0.3171668753749899,4.089871292284496e-10
down,ENSG00000134061,CD180,4064,0.6001611534317224,1.131869609653733e-37
down,ENSG00000134853,PDGFRA,5156,0.3362867920906162,2.927965406915068e-11
down,ENSG00000136244,IL6,3569,0.35720468187457804,1.3183473251746648e-12
