sig,ensembl_id,gene_name,gene_id,rho,pval
up,ENSG00000000460,C1orf112,55732,-0.3577980579834553,1.203261904577277e-12
up,ENSG00000005156,LIG3,3980,-0.3383071506813207,2.1920466364761823e-11
up,ENSG00000006704,GTF2IRD1,9569,-0.33553188368045794,3.260660908078915e-11
up,ENSG00000007866,TEAD3,7005,-0.3144723318776452,5.844134480345228e-10
up,ENSG00000008838,MED24,9862,-0.3369764466386106,2.653109208463612e-11
up,ENSG00000010539,ZNF200,7752,-0.34055448361914625,1.5846520541452447e-11
up,ENSG00000053438,NNAT,4826,-0.32943796238946266,7.690798469622379e-11
up,ENSG00000053747,LAMA3,3909,-0.3621340968871277,6.137080986674796e-13
up,ENSG00000054392,HHAT,55733,-0.40814907892455,2.514718997503771e-16
up,ENSG00000059588,TARBP1,6894,-0.3513774256650614,3.2006586302070242e-12
up,ENSG00000065361,ERBB3,2065,-0.4003680146938826,1.0260515946896082e-15
up,ENSG00000076650,GPATCH1,55094,-0.3695106035885191,1.906605435192334e-13
up,ENSG00000077522,ACTN2,88,-0.3014784518571686,3.1092964576894256e-09
up,ENSG00000082196,C1QTNF3,114899,-0.3890950420533908,7.377860802680443e-15
up,ENSG00000083857,FAT1,2195,-0.3591026767018845,9.836716995612792e-13
up,ENSG00000084693,AGBL5,60509,-0.33080573992717865,6.353921958707482e-11
up,ENSG00000091409,ITGA6,3655,-0.3470550169308331,6.107921568108607e-12
up,ENSG00000099308,MAST3,23031,-0.32336589993845655,1.7748955053071493e-10
up,ENSG00000100038,TOP3B,8940,-0.3155691427063179,5.056040355697216e-10
up,ENSG00000100350,FOXRED2,80020,-0.3644830685884804,4.243274658803819e-13
up,ENSG00000101190,TCFL5,10732,-0.41149246548801804,1.3587816225780892e-16
up,ENSG00000103197,TSC2,7249,-0.3252102028659954,1.3794531995771795e-10
up,ENSG00000104859,CLASRP,11129,-0.3138599142643466,6.334830753378009e-10
up,ENSG00000106290,TAF6,6878,-0.3015306034919375,3.089008876743265e-09
up,ENSG00000106479,ZNF862,643641,-0.31320860366754816,6.900585663101584e-10
up,ENSG00000108349,CASC3,22794,-0.4357126890828715,1.2730212102127032e-18
up,ENSG00000108465,CDK5RAP3,80279,-0.35709257921326265,1.3412665755360832e-12
up,ENSG00000108469,RECQL5,9400,-0.42874920001592826,5.06767378951564e-18
up,ENSG00000108773,KAT2A,2648,-0.33055687183336324,6.579026853640755e-11
up,ENSG00000108799,EZH1,2145,-0.34292707311410464,1.1218318645559439e-11
up,ENSG00000110104,CCDC86,79080,-0.33260503979525996,4.935370041288814e-11
up,ENSG00000110171,TRIM3,10612,-0.3435065903184001,1.0306098532902186e-11
up,ENSG00000110721,CHKA,1119,-0.31023663922143185,1.0168695638126627e-09
up,ENSG00000112186,CAP2,10486,-0.4090051945673921,2.1494082475181713e-16
up,ENSG00000112983,BRD8,10902,-0.3788942702420143,4.124726019973191e-14
up,ENSG00000113296,THBS4,7060,-0.367990252188199,2.4320291414846174e-13
up,ENSG00000115289,PCGF1,84759,-0.375759096266951,6.917174513410253e-14
up,ENSG00000116580,GON4L,54856,-0.3294300328250108,7.699295820871942e-11
up,ENSG00000116906,GNPAT,8443,-0.35980239790050167,8.82571512555658e-13
up,ENSG00000117153,KLHL12,59349,-0.3438345368952835,9.822376651360636e-12
