sig,ensembl_id,gene_name,gene_id,rho,pval
down,ENSG00000005381,MPO,4353,0.37012704354716464,4.9015169495768806e-18
down,ENSG00000005844,ITGAL,3683,0.5416813347239793,2.656869765907523e-40
down,ENSG00000007129,CEACAM21,90273,0.513189306892706,1.1264917696360395e-35
down,ENSG00000007237,GAS7,8522,0.3999723359879872,4.720350028994643e-21
down,ENSG00000007264,MATK,4145,0.6186270459868992,2.735172052541971e-55
down,ENSG00000010671,BTK,695,0.7080625286883653,6.108408066071734e-79
down,ENSG00000011600,TYROBP,7305,0.8293721628200017,8.74591775045852e-131
down,ENSG00000012779,ALOX5,240,0.6652855289957628,1.3268738329747422e-66
down,ENSG00000018280,SLC11A1,6556,0.5774421210628515,8.961161610839002e-47
down,ENSG00000019582,CD74,972,0.5478844037666332,2.2759822598332465e-41
down,ENSG00000026025,VIM,7431,0.4526023493646661,3.579757434972248e-27
down,ENSG00000026508,CD44,960,0.3254511031077831,4.513001427103934e-14
down,ENSG00000032444,PNPLA6,10908,0.4062348972945393,1.0024280433176194e-21
down,ENSG00000038945,MSR1,4481,0.710782766182324,8.422613813097263e-80
down,ENSG00000064763,FAR2,55711,0.3577757278037878,7.08195690763551e-17
down,ENSG00000066336,SPI1,6688,0.8194236892782234,4.0529897069480734e-125
down,ENSG00000068831,RASGRP2,10235,0.4415362486672381,8.536730917529127e-26
down,ENSG00000069424,KCNAB2,8514,0.612859623998399,5.075248126757177e-54
down,ENSG00000071246,VASH1,22846,0.39598073334461337,1.2458835073923795e-20
down,ENSG00000072786,STK10,6793,0.47071691181924924,1.5396593564519495e-29
down,ENSG00000073754,CD5L,922,0.46458875048533355,1.0089627634805255e-28
down,ENSG00000073861,TBX21,30009,0.34591495795472854,8.265096819745659e-16
down,ENSG00000074660,SCARF1,8578,0.36534878272090976,1.396345261162583e-17
down,ENSG00000077420,APBB1IP,54518,0.5278683822198855,5.279550712495293e-38
down,ENSG00000079819,EPB41L2,2037,0.3668225540413921,1.0129067786335316e-17
down,ENSG00000081237,PTPRC,5788,0.5528330988852969,3.08777827442402e-42
down,ENSG00000082397,EPB41L3,23136,0.4114207520502392,2.7098385508556432e-22
down,ENSG00000085265,FCN1,2219,0.6149064636568392,1.8125236995230022e-54
down,ENSG00000085514,PILRA,29992,0.7817110350581997,1.8899744725694332e-106
down,ENSG00000086300,SNX10,29887,0.45770083188396826,7.98093912391168e-28
down,ENSG00000086730,LAT2,7462,0.6196810888181712,1.5933212166563214e-55
down,ENSG00000087589,CASS4,57091,0.3756659913828427,1.4246951879757056e-18
down,ENSG00000089041,P2RX7,5027,0.6429313670456528,6.15822986492597e-61
down,ENSG00000090376,IRAK3,11213,0.34032129114967696,2.5409605708543964e-15
down,ENSG00000090382,LYZ,4069,0.5979472112884777,7.359910322260365e-51
down,ENSG00000093072,ADA2,51816,0.40197569188286764,2.885769679725533e-21
down,ENSG00000095370,SH2D3C,10044,0.34431379314700244,1.1425341156827854e-15
down,ENSG00000096968,JAK2,3717,0.34783683238159424,5.589724221008589e-16
down,ENSG00000096996,IL12RB1,3594,0.5758984249726324,1.7715115647445355e-46
down,ENSG00000100060,MFNG,4242,0.49427904102944714,7.76268076493407e-33
down,ENSG00000100362,PVALB,5816,0.46039341944459206,3.5757932945992154e-28
down,ENSG00000101265,RASSF2,9770,0.39147721843199024,3.6661440809701933e-20
down,ENSG00000101280,ANGPT4,51378,0.3505479670081878,3.2046621340109027e-16
down,ENSG00000101307,SIRPB1,10326,0.6308871289904676,4.4775216890508985e-58
down,ENSG00000101327,PDYN,5173,0.3576203798209118,7.318503495965523e-17
down,ENSG00000101336,HCK,3055,0.7777670082388654,1.0301109889591497e-104
down,ENSG00000101347,SAMHD1,25939,0.5629231757067539,4.73355352350339e-44
down,ENSG00000101445,PPP1R16B,26051,0.30678213390973774,1.3451525670684774e-12
down,ENSG00000102575,ACP5,54,0.6813457421864102,5.477834057167619e-71
down,ENSG00000102683,SGCG,6445,0.35597133275805803,1.0361147329697031e-16
down,ENSG00000103569,AQP9,366,0.630859698694944,4.543712738755543e-58
down,ENSG00000104918,RETN,56729,0.4933204031449309,1.0696161654922772e-32
down,ENSG00000104974,LILRA1,11024,0.6154129798023787,1.4031936002807826e-54
down,ENSG00000105352,CEACAM4,1089,0.4438583905496673,4.430146941158944e-26
down,ENSG00000105366,SIGLEC8,27181,0.36131518024799625,3.3336372865211984e-17
down,ENSG00000105383,CD33,945,0.768492330677624,9.099982117347914e-101
down,ENSG00000105492,SIGLEC6,946,0.3478165010697838,5.612978962932624e-16
down,ENSG00000105499,PLA2G4C,8605,0.4250278874025099,7.840234902205506e-24
down,ENSG00000105609,LILRB5,10990,0.6059704378260716,1.5372718420064347e-52
down,ENSG00000105851,PIK3CG,5294,0.45695099552682406,9.967922948974546e-28
down,ENSG00000105967,TFEC,22797,0.6779150216349498,4.9961894056406363e-70
down,ENSG00000106034,CPED1,79974,0.3814287816984921,3.840450076213629e-19
down,ENSG00000106066,CPVL,54504,0.5574564527119702,4.633901349826678e-43
down,ENSG00000106123,EPHB6,2051,0.33820960807132666,3.8599727750172356e-15
down,ENSG00000106178,CCL24,6369,0.30317920905761897,2.520673452693782e-12
down,ENSG00000106538,RARRES2,5919,0.30194986016010833,3.1168882105970195e-12
down,ENSG00000106991,ENG,2022,0.33266639502295964,1.1394052979611238e-14
down,ENSG00000107317,PTGDS,5730,0.36317504421989927,2.2352438498163108e-17
down,ENSG00000107562,CXCL12,6387,0.3365198568993682,5.3813359380728546e-15
down,ENSG00000107593,PKD2L1,9033,0.38320882800719097,2.5481152399352944e-19
down,ENSG00000107742,SPOCK2,9806,0.32455004038367785,5.3457516257049353e-14
down,ENSG00000107798,LIPA,3988,0.5335933996695679,6.066169918104896e-39
down,ENSG00000108370,RGS9,8787,0.32015219956036745,1.2118495608004041e-13
down,ENSG00000108405,P2RX1,5023,0.39967991105062545,5.070467295236446e-21
down,ENSG00000108691,CCL2,6347,0.4339781679934103,6.9732042264603555e-25
down,ENSG00000108932,SLC16A6,9120,0.3135636224463614,4.028572343735173e-13
down,ENSG00000109099,PMP22,5376,0.4270081299008343,4.618641669501761e-24
down,ENSG00000109667,SLC2A9,56606,0.5505076393726519,7.927035654702999e-42
down,ENSG00000109743,BST1,683,0.5159795075598389,4.146679843985598e-36
down,ENSG00000110031,LPXN,9404,0.665942462089707,8.88904750382551e-67
down,ENSG00000110079,MS4A4A,51338,0.7351468942788587,5.586492570540628e-88
down,ENSG00000110203,FOLR3,2352,0.368278205809206,7.364660157563387e-18
down,ENSG00000110665,C11orf21,29125,0.4251833407330435,7.522168275317365e-24
down,ENSG00000110848,CD69,969,0.3850644200478239,1.6570248128846495e-19
down,ENSG00000110876,SELPLG,6404,0.7016105700038671,6.1333547311856876e-77
down,ENSG00000110880,CORO1C,23603,0.36180114615574177,3.003789342088875e-17
down,ENSG00000110934,BIN2,51411,0.6242597447534501,1.4873998574177868e-56
down,ENSG00000111181,SLC6A12,6539,0.4515014951602135,4.933469254472205e-27
