sig,ensembl_id,gene_name,gene_id,rho,pval
down,ENSG00000000971,CFH,3075,0.3685748929703222,5.898105390166756e-17
down,ENSG00000021355,SERPINB1,1992,0.40904877648425164,7.237408715439159e-21
down,ENSG00000042493,CAPG,822,0.4256889565583685,1.2282569032166873e-22
down,ENSG00000051523,CYBA,1535,0.5788638733062345,1.8233560052118973e-44
down,ENSG00000054219,LY75,4065,0.4196051750395495,5.597557198272177e-22
down,ENSG00000070190,DAPP1,27071,0.4405989659871443,2.614048152206006e-24
down,ENSG00000073792,IGF2BP2,10644,0.32408469880627866,2.9991587187136487e-13
down,ENSG00000085662,AKR1B1,231,0.371988189051137,2.8939279646265577e-17
down,ENSG00000086696,HSD17B2,3294,0.36507266210073513,1.2139206658188392e-16
down,ENSG00000102024,PLS3,5358,0.40523720358687376,1.7837622590520838e-20
down,ENSG00000105131,EPHX3,79852,0.3267552378265263,1.8661393543684545e-13
down,ENSG00000106538,RARRES2,5919,0.3273289429085847,1.684272706233785e-13
down,ENSG00000110777,POU2AF1,5450,0.33502163845551314,4.17023077374897e-14
down,ENSG00000114115,RBP1,5947,0.32136861487898427,4.83606749072558e-13
down,ENSG00000118308,LRMP,4033,0.4359405793121581,8.884337463181865e-24
down,ENSG00000118849,RARRES1,5918,0.4212506321577836,3.725287301395423e-22
down,ENSG00000120457,KCNJ5,3762,0.3641439093371083,1.4678404400972324e-16
down,ENSG00000121316,PLBD1,79887,0.4544936454822388,6.0668701560801e-26
down,ENSG00000123892,RAB38,23682,0.3142797376350087,1.6453633497990701e-12
down,ENSG00000127920,GNG11,2791,0.3183294836051194,8.207224210775624e-13
down,ENSG00000128045,RASL11B,65997,0.31452203654049754,1.5787657725105159e-12
down,ENSG00000128805,ARHGAP22,58504,0.42266557846411734,2.620075780514516e-22
down,ENSG00000136840,ST6GALNAC4,27090,0.37534131227240664,1.4260043863142342e-17
down,ENSG00000137077,CCL21,6366,0.3681353578261991,6.460486535776259e-17
down,ENSG00000137752,CASP1,834,0.5121968994207394,1.3609886949810458e-33
down,ENSG00000139629,GALNT6,11226,0.4518987645899324,1.2414147376761466e-25
down,ENSG00000143320,CRABP2,1382,0.3420791165047481,1.1190358425172775e-14
down,ENSG00000148120,C9orf3,84909,0.3205468775913736,5.582869032548629e-13
down,ENSG00000152207,CYSLTR2,57105,0.3563725014743544,7.021944395167523e-16
down,ENSG00000156127,BATF,10538,0.4891262071295689,2.331762489906505e-30
down,ENSG00000160801,PTH1R,5745,0.3014209636551318,1.3974333172247049e-11
down,ENSG00000162783,IER5,51278,0.33331434742818267,5.704070114304811e-14
down,ENSG00000163220,S100A9,6280,0.35776703294588263,5.319145672478016e-16
down,ENSG00000165801,ARHGEF40,55701,0.3042234757413279,8.84509473590925e-12
down,ENSG00000166035,LIPC,3990,0.3631081243951324,1.8128314091719296e-16
down,ENSG00000167207,NOD2,64127,0.33698274857070293,2.903133195931799e-14
down,ENSG00000168060,NAALADL1,10004,0.30122779966700997,1.4419264677567906e-11
down,ENSG00000168918,INPP5D,3635,0.42781954731001587,7.168382697202366e-23
down,ENSG00000171310,CHST11,50515,0.3720475581770286,2.858094956974809e-17
down,ENSG00000172638,EFEMP2,30008,0.32327207050007734,3.4617723335968403e-13
down,ENSG00000173917,HOXB2,3212,0.31394943830531813,1.7405910878911132e-12
down,ENSG00000176049,JAKMIP2,9832,0.3635265347265286,1.6648055193295664e-16
down,ENSG00000176463,SLCO3A1,28232,0.31927119153611566,6.97104314546892e-13
down,ENSG00000179639,FCER1A,2205,0.3368191619810397,2.992474607209546e-14
down,ENSG00000188042,ARL4C,10123,0.34801083161627455,3.608223816482092e-15
down,ENSG00000188783,PRELP,5549,0.30152009080576303,1.3751238198214621e-11
down,ENSG00000196154,S100A4,6275,0.5178848153239566,1.985846634360281e-34
down,ENSG00000197465,GYPE,2996,0.30022406439868765,1.6963383688026332e-11
down,ENSG00000197956,S100A6,6277,0.38300523415453014,2.7420094149153992e-18
down,ENSG00000239713,APOBEC3G,60489,0.33066952788485554,9.230804256092568e-14
