CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.2F.A9KO.01A.11R.A38B.07	0	0.018	0.506	0.144	0.166	0.155	0.317	0.282	0.374	0.053	0.359	0.094	0.054	0.006	0.058	0.194	0.079	0.145	0.274	0.328	0.094	0.11	0.159	0.251	0.717
TCGA.2F.A9KP.01A.11R.A38B.07	0.058	0.08	0.114	0.004	0.067	0.154	0.161	0.059	0.16	0.186	0.087	0.067	0	0.041	0.142	0.116	0.117	0.121	0.15	0.113	0.241	0.032	0.124	0.112	0.516
TCGA.2F.A9KQ.01A.11R.A38B.07	0.046	0.128	0.171	0.007	0.132	0.133	0.094	0.014	0.202	0.186	0.009	0.019	0	0.054	0.175	0.229	0.077	0.167	0.222	0.057	0.237	0.006	0.118	0.156	0.594
TCGA.2F.A9KR.01A.11R.A38B.07	0	0.01	0.364	0.061	0.05	0.118	0.202	0.127	0.304	0.176	0.182	0	0.053	0.086	0.188	0.051	0.083	0.168	0.108	0.228	0.214	0.125	0.126	0.168	0.539
TCGA.2F.A9KT.01A.11R.A38B.07	0.058	0.078	0.328	0.103	0.123	0.154	0.12	0	0.224	0.087	0	0.015	0	0.063	0.114	0.115	0.066	0.201	0.279	0.188	0.279	0	0.152	0.103	0.651
TCGA.2F.A9KW.01A.11R.A38B.07	0.032	0.101	0.322	0.07	0.199	0.154	0.197	0.121	0.238	0.08	0.049	0.031	0.015	0.032	0.136	0.247	0.138	0.179	0.378	0.043	0.192	0.05	0.117	0.089	0.651
TCGA.4Z.AA7M.01A.11R.A39I.07	0.034	0.088	0.259	0.07	0.095	0.197	0.217	0.052	0.212	0.095	0.004	0.033	0.036	0.032	0.126	0.13	0.089	0.2	0.22	0.106	0.221	0.05	0.192	0.144	0.613
TCGA.4Z.AA7N.01A.11R.A39I.07	0	0.034	0.436	0.11	0.232	0.142	0.341	0.187	0.353	0.088	0.442	0.12	0	0.059	0.094	0.115	0.286	0	0.149	0.332	0.028	0.045	0.267	0.257	0.675
TCGA.4Z.AA7O.01A.31R.A39I.07	0	0.048	0.422	0.122	0.128	0.145	0.258	0.215	0.32	0.078	0.322	0.129	0.051	0.024	0.091	0.174	0.091	0.127	0.186	0.194	0.13	0.088	0.148	0.251	0.612
TCGA.4Z.AA7Q.01A.11R.A39I.07	0	0	0.514	0.151	0.132	0.153	0.281	0.283	0.334	0.125	0.36	0.031	0.054	0.033	0.112	0.207	0.12	0.116	0.281	0.344	0.101	0.1	0.155	0.309	0.769
