CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.3C.AAAU.01A.11R.A41B.07	0	0.097	0.286	0	0.074	0.051	0.02	0.144	0.485	0.134	0.294	0.061	0.04	0.016	0.128	0.079	0.131	0.239	0.217	0.228	0.245	0.036	0.201	0.159	0.683
TCGA.3C.AALI.01A.11R.A41B.07	0	0.003	0.451	0.118	0.028	0.057	0.135	0.369	0.508	0.066	0.445	0.134	0.039	0.016	0.235	0.075	0.105	0.151	0.168	0.342	0.183	0.106	0.197	0.241	0.666
TCGA.3C.AALJ.01A.31R.A41B.07	0	0.111	0.464	0.042	0.057	0.058	0.172	0.252	0.356	0.005	0.495	0.134	0.027	0.048	0.187	0.14	0.094	0.215	0.201	0.232	0.14	0.139	0.192	0.268	0.676
TCGA.3C.AALK.01A.11R.A41B.07	0	0.102	0.42	0.041	0.04	0.091	0.175	0.211	0.474	0.122	0.432	0.098	0.021	0.06	0.189	0.114	0.065	0.168	0.179	0.311	0.165	0.103	0.159	0.228	0.633
TCGA.4H.AAAK.01A.12R.A41B.07	0	0.081	0.399	0.009	0.055	0.114	0.173	0.187	0.457	0.155	0.409	0.078	0.03	0.052	0.126	0.109	0.07	0.221	0.259	0.253	0.18	0.103	0.153	0.246	0.679
TCGA.5L.AAT0.01A.12R.A41B.07	0	0.058	0.466	0.051	0.045	0.034	0.126	0.241	0.427	0.114	0.476	0.131	0.025	0.018	0.208	0.091	0.104	0.166	0.213	0.334	0.157	0.141	0.187	0.268	0.692
TCGA.5L.AAT1.01A.12R.A41B.07	0	0.058	0.503	0.136	0.02	0.115	0.164	0.355	0.421	0.108	0.462	0.097	0.019	0	0.161	0.128	0.085	0.123	0.255	0.366	0.144	0.121	0.147	0.33	0.72
TCGA.5T.A9QA.01A.11R.A41B.07	0	0.052	0.345	0.08	0.022	0.032	0	0.23	0.238	0.106	0.211	0	0.012	0.035	0.271	0.183	0.116	0.237	0.29	0.188	0.267	0.056	0.02	0.128	0.651
TCGA.A1.A0SB.01A.11R.A144.07	0.005	0.084	0.187	0.024	0	0.028	0.027	0.071	0.337	0.225	0.169	0.011	0	0.123	0.09	0.043	0.082	0.27	0.113	0.223	0.297	0.05	0.111	0.099	0.564
TCGA.A1.A0SD.01A.11R.A115.07	0	0.072	0.379	0	0.024	0.071	0.154	0.189	0.521	0.172	0.383	0.108	0.024	0.107	0.178	0.14	0.073	0.17	0.213	0.26	0.18	0.093	0.166	0.233	0.653
TCGA.A1.A0SE.01A.11R.A084.07	0	0.075	0.377	0.001	0.053	0.065	0.071	0.183	0.53	0.171	0.384	0.133	0.011	0.063	0.208	0.09	0.09	0.172	0.133	0.298	0.199	0.088	0.171	0.243	0.636
TCGA.A1.A0SF.01A.11R.A144.07	0	0.097	0.472	0.015	0.026	0.06	0.152	0.236	0.445	0.117	0.519	0.169	0	0.042	0.167	0.089	0.086	0.176	0.06	0.318	0.155	0.157	0.163	0.315	0.62
TCGA.A1.A0SG.01A.11R.A144.07	0	0.026	0.398	0	0.03	0.095	0.122	0.195	0.491	0.122	0.415	0.131	0.032	0.038	0.191	0.104	0.185	0.198	0.179	0.242	0.203	0.1	0.18	0.238	0.697
TCGA.A1.A0SH.01A.11R.A084.07	0	0.093	0.361	0.025	0.094	0.089	0.103	0.127	0.529	0.161	0.222	0.07	0	0.104	0.146	0.124	0.064	0.25	0.276	0.236	0.207	0.054	0.106	0.165	0.651
TCGA.A1.A0SI.01A.11R.A144.07	0	0.08	0.473	0.099	0.057	0.073	0.199	0.309	0.436	0.094	0.426	0.128	0.043	0	0.147	0.11	0.091	0.179	0.236	0.329	0.131	0.11	0.153	0.226	0.663
