CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.3L.AA1B.01A.11R.A37K.07	0	0.085	0.227	0.087	0.122	0.098	0.382	0.15	0.274	0.168	0.254	0.03	0.024	0.12	0.183	0.107	0.137	0.162	0.166	0.205	0.118	0.015	0.224	0.217	0.65
TCGA.4N.A93T.01A.11R.A37K.07	0	0.034	0.182	0.043	0.058	0.059	0.152	0.177	0.24	0.172	0.308	0.008	0.079	0.097	0.313	0.006	0.156	0.137	0.035	0.07	0.184	0.031	0.217	0.228	0.503
TCGA.4T.AA8H.01A.11R.A41B.07	0	0.002	0.146	0.018	0.003	0.065	0.179	0.173	0.231	0.227	0.274	0.038	0.002	0.154	0.318	0.043	0.112	0.11	0.084	0.147	0.22	0	0.167	0.198	0.527
TCGA.5M.AAT4.01A.11R.A41B.07	0	0.036	0.228	0.086	0.011	0.072	0.187	0.128	0.244	0.194	0.086	0	0	0.15	0.199	0.07	0.092	0.2	0.232	0.063	0.247	0.035	0.118	0.158	0.574
TCGA.5M.AAT5.01A.21R.A41B.07	0	0.054	0.24	0.076	0.044	0.114	0.269	0.197	0.077	0.142	0.25	0	0	0.131	0.211	0.074	0.11	0.173	0.152	0.156	0.215	0.036	0.105	0.157	0.556
TCGA.5M.AAT6.01A.11R.A41B.07	0	0.037	0.399	0.178	0.084	0.087	0.328	0.376	0.2	0.082	0.321	0.013	0.041	0.007	0.199	0.234	0.082	0.223	0.362	0.256	0.081	0.07	0.169	0.247	0.805
TCGA.5M.AATA.01A.31R.A41B.07	0	0.035	0.275	0.134	0.036	0.074	0.264	0.26	0.237	0.129	0.337	0.041	0.03	0.11	0.236	0.098	0.072	0.175	0.216	0.213	0.153	0.039	0.169	0.203	0.632
TCGA.5M.AATE.01A.11R.A41B.07	0	0.061	0.281	0.061	0.086	0.103	0.29	0.168	0.189	0.175	0.156	0	0.012	0.117	0.206	0.149	0.125	0.191	0.172	0.131	0.175	0.028	0.111	0.175	0.598
TCGA.A6.2671.11A.01R.A32Z.07	0	0.001	0.35	0.072	0.011	0	0.151	0.162	0.372	0.235	0.344	0	0.019	0.234	0.267	0.147	0.134	0.099	0.263	0.345	0.178	0.029	0.101	0.241	0.734
TCGA.A6.2675.01A.02R.1723.07	0	0.064	0.343	0.112	0.08	0.102	0.31	0.185	0.27	0.203	0.197	0	0	0.106	0.2	0.245	0.076	0.206	0.395	0.27	0.172	0.012	0.136	0.175	0.814
TCGA.A6.2675.11A.01R.1723.07	0	0.055	0.294	0.034	0.025	0	0.173	0.147	0.264	0.245	0.243	0	0	0.253	0.308	0.124	0.1	0.128	0.218	0.299	0.176	0.006	0.215	0.173	0.697
TCGA.A6.2678.11A.01R.A32Z.07	0	0	0.295	0.049	0.057	0.005	0.24	0.142	0.319	0.253	0.317	0	0.031	0.192	0.312	0.149	0.155	0.107	0.332	0.299	0.177	0	0.142	0.223	0.77
TCGA.A6.2679.11A.01R.A32Z.07	0	0	0.357	0.129	0.073	0.001	0.233	0.29	0.291	0.153	0.384	0.005	0.045	0.176	0.296	0.129	0.163	0.083	0.293	0.35	0.126	0.05	0.167	0.274	0.771
TCGA.A6.2680.11A.01R.A32Z.07	0	0.01	0.276	0.086	0	0	0.157	0.134	0.388	0.194	0.336	0	0.097	0.24	0.213	0.123	0.11	0.103	0.23	0.354	0.176	0.033	0.137	0.238	0.716
TCGA.A6.2682.01A.01R.1410.07	0	0.08	0.238	0.112	0.079	0.133	0.336	0.101	0.192	0.153	0.151	0.015	0.038	0.161	0.181	0.142	0.052	0.182	0.322	0.182	0.195	0.029	0.155	0.136	0.665
TCGA.A6.2682.11A.01R.A32Z.07	0	0	0.317	0.069	0.094	0.013	0.228	0.16	0.359	0.198	0.359	0.008	0.028	0.19	0.271	0.118	0.222	0.098	0.284	0.32	0.18	0	0.136	0.232	0.773
TCGA.A6.2683.11A.01R.A32Z.07	0	0.007	0.321	0.048	0.084	0.004	0.174	0.158	0.34	0.233	0.287	0.047	0.043	0.178	0.315	0.147	0.158	0.098	0.306	0.31	0.182	0	0.126	0.25	0.767
TCGA.A6.2684.01A.01R.1410.07	0	0.074	0.31	0.098	0.089	0.094	0.311	0.208	0.279	0.159	0.248	0.022	0.01	0.145	0.203	0.286	0.087	0.179	0.382	0.248	0.096	0.012	0.186	0.226	0.822
TCGA.A6.2684.11A.01R.A32Z.07	0	0	0.32	0.068	0.091	0	0.209	0.172	0.348	0.185	0.337	0	0.051	0.2	0.302	0.145	0.151	0.091	0.305	0.343	0.183	0	0.146	0.25	0.786
TCGA.A6.2685.01A.01R.1410.07	0	0.042	0.276	0.091	0.1	0.038	0.258	0.084	0.352	0.168	0.349	0	0.004	0.194	0.245	0.226	0.113	0.181	0.422	0.207	0.137	0	0.213	0.186	0.82
TCGA.A6.2685.11A.01R.A32Z.07	0	0	0.315	0.055	0.066	0	0.248	0.181	0.312	0.219	0.394	0	0.044	0.175	0.308	0.121	0.134	0.045	0.232	0.308	0.159	0.024	0.171	0.26	0.695
TCGA.A6.2686.01A.01R.A32Z.07	0	0.02	0.433	0.177	0.114	0.105	0.317	0.343	0.301	0.052	0.339	0.07	0.03	0.016	0.182	0.266	0.102	0.135	0.391	0.32	0.107	0.048	0.129	0.296	0.849
TCGA.A6.2686.11A.01R.A32Z.07	0	0.006	0.36	0.051	0.069	0	0.17	0.196	0.358	0.219	0.285	0.007	0.041	0.202	0.337	0.105	0.124	0.104	0.288	0.366	0.186	0	0.16	0.237	0.764
TCGA.A6.4105.01A.02R.1774.07	0	0.001	0.365	0.19	0.08	0.089	0.317	0.314	0.195	0.112	0.303	0.045	0.029	0.075	0.166	0.219	0.041	0.175	0.381	0.288	0.146	0.052	0.142	0.22	0.785
TCGA.A6.5656.01A.21R.1839.07	0	0.069	0.181	0.098	0.052	0.108	0.276	0.149	0.147	0.125	0.135	0	0.024	0.097	0.096	0.18	0.054	0.234	0.244	0.129	0.226	0.1	0.103	0.152	0.644
TCGA.A6.5657.01A.01R.A32Z.07	0	0.07	0.287	0.053	0.097	0.095	0.273	0.167	0.384	0.089	0.426	0.106	0	0.081	0.184	0.102	0.225	0.082	0.118	0.215	0.087	0.058	0.222	0.268	0.642
TCGA.A6.5659.01A.01R.1653.07	0	0.05	0.228	0.12	0.071	0.092	0.277	0.174	0.248	0.126	0.171	0.021	0.024	0.129	0.14	0.173	0.086	0.141	0.248	0.169	0.161	0.072	0.122	0.2	0.633
TCGA.A6.5659.11A.01R.1653.07	0	0	0.265	0.074	0.078	0.034	0.215	0.139	0.383	0.206	0.33	0.035	0.04	0.179	0.302	0.138	0.166	0.106	0.232	0.284	0.174	0	0.182	0.198	0.721
TCGA.A6.5660.01A.01R.1653.07	0	0.094	0.231	0.11	0.1	0.097	0.309	0.141	0.26	0.165	0.148	0.016	0	0.118	0.17	0.247	0.087	0.21	0.332	0.107	0.204	0.011	0.093	0.143	0.693
TCGA.A6.5661.01A.01R.1653.07	0	0.037	0.248	0.128	0.03	0.181	0.327	0.22	0.219	0.176	0.242	0.041	0.038	0.107	0.21	0.176	0.078	0.142	0.236	0.106	0.173	0	0.057	0.215	0.576
TCGA.A6.5662.01A.01R.1653.07	0.003	0.053	0.223	0.12	0.02	0.07	0.209	0.122	0.298	0.191	0.036	0.006	0.018	0.052	0.194	0.203	0.076	0.208	0.318	0.142	0.185	0.011	0.107	0.107	0.655
TCGA.A6.5662.11A.01R.1653.07	0	0.031	0.259	0.028	0.057	0	0.204	0.105	0.376	0.197	0.426	0.05	0.04	0.177	0.326	0.077	0.151	0.082	0.213	0.298	0.188	0	0.24	0.254	0.732
TCGA.A6.5664.01A.21R.1839.07	0	0.033	0.292	0.095	0.104	0.088	0.324	0.123	0.338	0.177	0.331	0.042	0	0.139	0.179	0.21	0.08	0.187	0.361	0.332	0.107	0.004	0.197	0.212	0.82
TCGA.A6.5665.01A.01R.1653.07	0	0.019	0.377	0.183	0.04	0.191	0.249	0.307	0.358	0.186	0.317	0	0.044	0	0.201	0.156	0.047	0.119	0.224	0.291	0.149	0.04	0.043	0.303	0.648
TCGA.A6.5665.11A.01R.1653.07	0	0.009	0.326	0.054	0.079	0.019	0.211	0.145	0.375	0.181	0.356	0.02	0.042	0.147	0.305	0.126	0.177	0.098	0.252	0.313	0.194	0	0.19	0.223	0.765
TCGA.A6.5666.01A.01R.1653.07	0	0.042	0.222	0.116	0.046	0.098	0.183	0.123	0.183	0.158	0	0	0	0.029	0.161	0.151	0.074	0.206	0.28	0.083	0.282	0.027	0.042	0.168	0.626
TCGA.A6.5667.01A.21R.1723.07	0	0.07	0.235	0.12	0.056	0.118	0.265	0.244	0.233	0.161	0.108	0	0	0.183	0.147	0.184	0.054	0.178	0.294	0.148	0.21	0.028	0.105	0.133	0.635
TCGA.A6.5667.11A.01R.1723.07	0	0.003	0.276	0.097	0.075	0.011	0.207	0.126	0.342	0.224	0.382	0	0.047	0.164	0.294	0.108	0.182	0.087	0.251	0.262	0.166	0	0.18	0.221	0.709
TCGA.A6.6137.01A.11R.1774.07	0	0.078	0.223	0.053	0.144	0.097	0.35	0.152	0.275	0.187	0.332	0.055	0.002	0.128	0.205	0.148	0.113	0.143	0.22	0.216	0.163	0.01	0.189	0.229	0.691
TCGA.A6.6138.01A.11R.1774.07	0	0.025	0.413	0.186	0.098	0.108	0.318	0.338	0.177	0.113	0.304	0.051	0.001	0.007	0.159	0.262	0.099	0.188	0.403	0.31	0.124	0.053	0.13	0.255	0.862
TCGA.A6.6140.01A.11R.1774.07	0	0.045	0.307	0.135	0.069	0.081	0.26	0.23	0.186	0.156	0.3	0.009	0.041	0.098	0.184	0.099	0.093	0.164	0.168	0.231	0.217	0.04	0.134	0.214	0.642
