CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.4P.AA8J.01A.11R.A39I.07	0	0.059	0.39	0.107	0.135	0.101	0.139	0.223	0.183	0.09	0.219	0.045	0.036	0.148	0.216	0.204	0.065	0.166	0.223	0.236	0.095	0.094	0.182	0.258	0.749
TCGA.BA.4074.01A.01R.1436.07	0	0.096	0.2	0.088	0.127	0.089	0.1	0.113	0.295	0.213	0	0.041	0.068	0.078	0.232	0.227	0.061	0.165	0.207	0.156	0.162	0.045	0.087	0.176	0.651
TCGA.BA.4075.01A.01R.1436.07	0	0	0.195	0.042	0.191	0.043	0.078	0.164	0.217	0.122	0	0.046	0.049	0.158	0.152	0.279	0.088	0.162	0.316	0.237	0.25	0	0.048	0	0.724
TCGA.BA.4076.01A.01R.1436.07	0	0.057	0.223	0.03	0.184	0.11	0.142	0.142	0.037	0.232	0.149	0.048	0.03	0.106	0.242	0.168	0.062	0.124	0.069	0.061	0.208	0.064	0.104	0.215	0.531
TCGA.BA.4077.01B.01R.1436.07	0	0.019	0.385	0.129	0.123	0.117	0.152	0.244	0.232	0.132	0.292	0.108	0.04	0.032	0.223	0.239	0.116	0.111	0.255	0.268	0.113	0.1	0.12	0.241	0.768
TCGA.BA.4078.01A.01R.1436.07	0.02	0.114	0.247	0.032	0.193	0.123	0.195	0.115	0.242	0.158	0.229	0.096	0.038	0	0.182	0.177	0.074	0.155	0.259	0.134	0.118	0.084	0.189	0.251	0.711
TCGA.BA.5149.01A.01R.1514.07	0	0.082	0.336	0.065	0.15	0.147	0.203	0.213	0.102	0.125	0.129	0.061	0.044	0.025	0.226	0.195	0.068	0.144	0.195	0.182	0.169	0.043	0.125	0.191	0.666
TCGA.BA.5151.01A.01R.1436.07	0	0.084	0.31	0.022	0.215	0.114	0.18	0.125	0.145	0.191	0.203	0.135	0	0.074	0.247	0.209	0.079	0.157	0.243	0.148	0.248	0.009	0.134	0.207	0.748
TCGA.BA.5152.01A.02R.1873.07	0	0.052	0.419	0.085	0.162	0.134	0.166	0.194	0.174	0.103	0.252	0.071	0.021	0.011	0.238	0.239	0.073	0.125	0.233	0.249	0.145	0.137	0.14	0.29	0.784
TCGA.BA.5153.01A.01R.1436.07	0	0.029	0.447	0.111	0.191	0.073	0.199	0.215	0.193	0.169	0.396	0.119	0	0	0.157	0.137	0.143	0.085	0.092	0.316	0.083	0.165	0.155	0.314	0.695
TCGA.BA.5555.01A.01R.1514.07	0	0.092	0.325	0.103	0.166	0.157	0.175	0.211	0.127	0.142	0.11	0.074	0.029	0.016	0.236	0.195	0.099	0.107	0.15	0.195	0.15	0.119	0.126	0.278	0.682
