CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.3Z.A93Z.01A.11R.A37O.07	0	0.032	0.257	0.074	0.113	0.212	0.154	0.138	0.409	0.13	0.286	0.067	0	0.174	0.125	0.153	0.054	0.089	0.186	0.381	0.128	0.077	0.187	0.175	0.721
TCGA.6D.AA2E.01A.11R.A37O.07	0	0	0.261	0.077	0.148	0.162	0.179	0.117	0.428	0.169	0.329	0.109	0	0.06	0.131	0.156	0.064	0.062	0.247	0.378	0.107	0.048	0.206	0.16	0.736
TCGA.A3.3306.01A.01R.0864.07	0	0	0.189	0.065	0.139	0.196	0.209	0.117	0.424	0.143	0.27	0.169	0.024	0.045	0.188	0.196	0.096	0.115	0.226	0.32	0.101	0.052	0.165	0.158	0.733
TCGA.A3.3307.01A.01R.0864.07	0	0	0.218	0.076	0.119	0.181	0.198	0.183	0.405	0.12	0.281	0.152	0.019	0.109	0.113	0.179	0.06	0.109	0.273	0.309	0.121	0.082	0.17	0.145	0.729
TCGA.A3.3308.01A.02R.1325.07	0	0.061	0.196	0.035	0.164	0.212	0.278	0.116	0.315	0.115	0.227	0.128	0	0.156	0.141	0.205	0.084	0.137	0.276	0.283	0.088	0.062	0.215	0.103	0.742
TCGA.A3.3311.01A.02R.1325.07	0	0	0.192	0.083	0.161	0.233	0.231	0.185	0.417	0.115	0.265	0.16	0	0.075	0.12	0.212	0.089	0.133	0.321	0.281	0.102	0.049	0.159	0.141	0.766
TCGA.A3.3313.01A.02R.1325.07	0	0.066	0.21	0.092	0.151	0.253	0.167	0.14	0.314	0.2	0.065	0.083	0.01	0	0.114	0.204	0.072	0.108	0.277	0.257	0.147	0	0.158	0.047	0.677
TCGA.A3.3316.01A.01R.0864.07	0	0.059	0.182	0.067	0.16	0.209	0.277	0.091	0.38	0.165	0.186	0.123	0	0.036	0.161	0.253	0.071	0.138	0.332	0.336	0.099	0	0.192	0.039	0.778
TCGA.A3.3317.01A.02R.1325.07	0	0.026	0.173	0.099	0.161	0.214	0.263	0.171	0.348	0.109	0.244	0.174	0.006	0.16	0.092	0.223	0.076	0.11	0.273	0.263	0.077	0.042	0.209	0.125	0.723
TCGA.A3.3319.01A.02R.1325.07	0	0	0.221	0.104	0.138	0.227	0.173	0.229	0.425	0.182	0.182	0.105	0	0.101	0.084	0.177	0.081	0.205	0.34	0.338	0.142	0.012	0.177	0.096	0.829
TCGA.A3.3320.01A.02R.1325.07	0	0	0.204	0.045	0.127	0.198	0.213	0.13	0.4	0.146	0.296	0.162	0.012	0.084	0.099	0.179	0.084	0.126	0.274	0.288	0.122	0.072	0.187	0.115	0.732
TCGA.A3.3322.01A.02R.1325.07	0	0.015	0.211	0.065	0.142	0.213	0.213	0.098	0.376	0.149	0.243	0.112	0	0.102	0.133	0.22	0.097	0.158	0.285	0.304	0.124	0.059	0.19	0.098	0.787
TCGA.A3.3323.01A.02R.1325.07	0	0	0.235	0.056	0.162	0.211	0.298	0.164	0.366	0.156	0.251	0.137	0	0.105	0.113	0.187	0.078	0.149	0.276	0.335	0.086	0.082	0.216	0.137	0.781
TCGA.A3.3324.01A.02R.1325.07	0	0	0.204	0.092	0.152	0.209	0.193	0.178	0.391	0.119	0.286	0.161	0.007	0.13	0.131	0.219	0.071	0.126	0.269	0.287	0.079	0.074	0.18	0.154	0.739
TCGA.A3.3325.01A.01R.0864.07	0	0.009	0.181	0.022	0.163	0.188	0.212	0.109	0.395	0.146	0.319	0.154	0	0.106	0.235	0.207	0.089	0.106	0.273	0.294	0.117	0.048	0.226	0.125	0.767
TCGA.A3.3326.01A.01R.0864.07	0	0.036	0.235	0.03	0.184	0.199	0.295	0.129	0.368	0.111	0.311	0.16	0	0.115	0.144	0.237	0.094	0.123	0.25	0.305	0.076	0.061	0.222	0.181	0.793
TCGA.A3.3328.01A.01R.0864.07	0	0.085	0.058	0	0.06	0.183	0.06	0.025	0.302	0.184	0.003	0.1	0	0	0.101	0.157	0.112	0.085	0.158	0.138	0.201	0.03	0.173	0.052	0.574
TCGA.A3.3329.01A.01R.0864.07	0	0.02	0.203	0.072	0.167	0.21	0.28	0.157	0.385	0.123	0.35	0.139	0	0.126	0.109	0.193	0.072	0.078	0.285	0.301	0.084	0.063	0.187	0.151	0.72
TCGA.A3.3331.01A.02R.1325.07	0	0.002	0.237	0.074	0.166	0.198	0.241	0.158	0.401	0.139	0.308	0.136	0	0.059	0.105	0.201	0.1	0.136	0.304	0.307	0.105	0.075	0.192	0.118	0.78
