CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.2V.A95S.01A.11R.A37K.07	0	0.068	0.231	0.125	0.204	0.098	0.26	0.36	0.321	0.04	0.346	0.086	0	0.01	0.312	0.195	0.137	0.081	0.173	0.292	0.102	0.072	0.138	0.282	0.737
TCGA.2Y.A9GS.01A.12R.A38B.07	0	0.045	0.153	0.022	0.239	0.105	0.195	0.288	0.395	0.171	0.139	0.014	0.001	0.066	0.277	0.235	0.118	0.161	0.261	0.238	0.2	0	0.143	0.151	0.794
TCGA.2Y.A9GT.01A.11R.A38B.07	0.037	0.053	0.151	0.074	0.216	0.09	0.24	0.298	0.305	0.146	0.35	0.13	0	0.022	0.26	0.126	0.057	0.151	0.204	0.242	0.12	0.044	0.154	0.269	0.698
TCGA.2Y.A9GU.01A.11R.A38B.07	0.017	0.14	0.146	0.017	0.222	0.116	0.214	0.136	0.389	0.168	0.185	0.023	0	0.022	0.3	0.154	0.104	0.185	0.177	0.243	0.225	0	0.132	0.119	0.705
TCGA.2Y.A9GV.01A.11R.A38B.07	0.036	0.034	0.139	0	0.242	0.112	0.236	0.16	0.408	0.168	0.302	0.064	0	0	0.322	0.222	0.051	0.174	0.34	0.18	0.167	0.004	0.175	0.154	0.772
TCGA.2Y.A9GW.01A.11R.A38B.07	0.012	0.107	0.12	0.01	0.22	0.094	0.236	0.216	0.341	0.134	0.268	0.092	0	0.074	0.339	0.281	0.077	0.204	0.3	0.266	0.151	0	0.161	0.177	0.852
TCGA.2Y.A9GX.01A.11R.A38B.07	0.04	0.134	0.125	0	0.227	0.078	0.311	0.184	0.369	0.12	0.336	0.114	0	0.045	0.365	0.23	0.064	0.146	0.291	0.251	0.106	0	0.177	0.184	0.764
TCGA.2Y.A9GY.01A.11R.A38B.07	0	0.041	0.223	0.12	0.22	0.182	0.212	0.337	0.353	0	0.323	0.035	0	0.04	0.259	0.204	0.126	0.174	0.301	0.28	0.112	0.066	0.096	0.309	0.844
TCGA.2Y.A9GZ.01A.11R.A39D.07	0.055	0.112	0.113	0	0.249	0.04	0.118	0.149	0.277	0.197	0.149	0	0	0.016	0.207	0.157	0.089	0.191	0.203	0.138	0.216	0.062	0.125	0.158	0.674
TCGA.2Y.A9H0.01A.11R.A38B.07	0	0.152	0.176	0.122	0.227	0.111	0.176	0.314	0.379	0.143	0.207	0.073	0.029	0	0.154	0.156	0.114	0.099	0.226	0.287	0.125	0.055	0.083	0.213	0.687
TCGA.2Y.A9H1.01A.11R.A38B.07	0.008	0.111	0.23	0.057	0.208	0.11	0.155	0.293	0.358	0.179	0.283	0	0.01	0.013	0.33	0.163	0.055	0.166	0.216	0.313	0.139	0.028	0.119	0.288	0.77
TCGA.2Y.A9H2.01A.12R.A38B.07	0.064	0.144	0.112	0.049	0.173	0.108	0.169	0.187	0.42	0.14	0.188	0.013	0.002	0.049	0.256	0.224	0.103	0.132	0.217	0.212	0.176	0	0.153	0.15	0.721
TCGA.2Y.A9H3.01A.11R.A38B.07	0	0.076	0.226	0.089	0.26	0.03	0.106	0.212	0.349	0.087	0.337	0.025	0	0.102	0.304	0.185	0.157	0.189	0.251	0.382	0.138	0.072	0.124	0.282	0.9
TCGA.2Y.A9H4.01A.11R.A38B.07	0	0.085	0.195	0.038	0.169	0.126	0.131	0.232	0.4	0.131	0.198	0.028	0.022	0.037	0.346	0.246	0.122	0.079	0.21	0.303	0.136	0.028	0.116	0.227	0.759
TCGA.2Y.A9H5.01A.11R.A38B.07	0.075	0.138	0.061	0.012	0.221	0.089	0.212	0.19	0.386	0.166	0.305	0.071	0	0.058	0.261	0.153	0.107	0.153	0.123	0.209	0.166	0	0.178	0.193	0.676
TCGA.2Y.A9H6.01A.11R.A39D.07	0.059	0.113	0.117	0.014	0.213	0.056	0.198	0.162	0.303	0.146	0.346	0.101	0	0.077	0.348	0.171	0.11	0.166	0.215	0.293	0.152	0.001	0.169	0.202	0.78
