CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.05.4244.01A.01R.1107.07	0	0.074	0.213	0.061	0.097	0.099	0.307	0.109	0.018	0.112	0.307	0.081	0.031	0.067	0.08	0.242	0.068	0.144	0.279	0.291	0.159	0.049	0.236	0.146	0.783
TCGA.05.4249.01A.01R.1107.07	0	0.093	0.099	0.068	0.155	0.115	0.289	0.066	0.111	0.184	0.25	0.073	0.016	0.009	0.089	0.239	0.129	0.153	0.262	0.203	0.141	0.066	0.183	0.176	0.742
TCGA.05.4250.01A.01R.1107.07	0	0.036	0.29	0.149	0.041	0.126	0.24	0.183	0.006	0.151	0.378	0.121	0.006	0.043	0.085	0.21	0.083	0.136	0.265	0.256	0.084	0.115	0.107	0.185	0.663
TCGA.05.4382.01A.01R.1206.07	0	0.003	0.164	0.1	0.111	0.105	0.317	0.135	0.044	0.102	0.288	0.061	0.023	0.113	0.15	0.241	0.095	0.189	0.361	0.347	0.121	0.048	0.145	0.204	0.852
TCGA.05.4384.01A.01R.1755.07	0	0.022	0.177	0.042	0.08	0.132	0.248	0.04	0.068	0.211	0.335	0.094	0	0.122	0.115	0.194	0.076	0.138	0.288	0.376	0.16	0.032	0.214	0.14	0.793
TCGA.05.4389.01A.01R.1206.07	0	0.03	0.206	0.101	0.092	0.121	0.294	0.216	0.1	0.142	0.36	0.1	0.039	0.027	0.106	0.288	0.128	0.11	0.245	0.358	0.118	0.085	0.114	0.237	0.799
TCGA.05.4390.01A.02R.1755.07	0	0.054	0.09	0.06	0.127	0.216	0.26	0.063	0.033	0.194	0.131	0.076	0.041	0.068	0.019	0.231	0.101	0.198	0.274	0.104	0.18	0.064	0.104	0.199	0.696
TCGA.05.4395.01A.01R.1206.07	0	0	0.199	0.065	0.036	0.168	0.365	0.139	0.105	0.178	0.343	0.053	0.049	0.02	0.127	0.2	0.066	0.209	0.249	0.363	0.126	0.076	0.055	0.193	0.731
TCGA.05.4396.01A.21R.1858.07	0	0.086	0.149	0.061	0.108	0.166	0.289	0.128	0.065	0.202	0.301	0.123	0.013	0.026	0.116	0.131	0.107	0.09	0.126	0.272	0.147	0.015	0.163	0.141	0.589
TCGA.05.4397.01A.01R.1206.07	0	0.041	0.145	0.078	0.1	0.14	0.27	0.07	0.104	0.146	0.241	0.061	0.03	0	0.049	0.233	0.168	0.134	0.317	0.229	0.145	0.072	0.088	0.184	0.75
TCGA.05.4398.01A.01R.1206.07	0	0.022	0.194	0.116	0.095	0.169	0.278	0.188	0.084	0.159	0.304	0.064	0.026	0.073	0.074	0.2	0.105	0.154	0.311	0.284	0.123	0.052	0.199	0.21	0.794
TCGA.05.4402.01A.01R.1206.07	0	0.061	0.109	0.055	0.117	0.107	0.247	0.068	0.12	0.196	0.236	0.092	0.01	0.098	0.116	0.206	0.118	0.17	0.332	0.22	0.129	0.038	0.143	0.199	0.759
TCGA.05.4403.01A.01R.1206.07	0	0.013	0.168	0.044	0.075	0.116	0.254	0.079	0.139	0.175	0.346	0.111	0.03	0.089	0.13	0.273	0.077	0.148	0.359	0.332	0.124	0.016	0.1	0.185	0.8
TCGA.05.4405.01A.21R.1858.07	0	0.054	0.14	0.052	0.102	0.086	0.241	0.033	0.077	0.177	0.296	0.103	0.021	0.095	0.066	0.172	0.122	0.142	0.295	0.219	0.139	0.057	0.206	0.164	0.729
TCGA.05.4410.01A.21R.1858.07	0	0.039	0.225	0.135	0.129	0.067	0.285	0.2	0.063	0.141	0.362	0.107	0.038	0.028	0.03	0.127	0.148	0.153	0.233	0.325	0.102	0.068	0.2	0.221	0.755
TCGA.05.4415.01A.22R.1858.07	0	0.063	0.23	0.113	0.081	0.187	0.388	0.279	0.051	0.079	0.154	0.017	0.039	0	0.097	0.181	0.034	0.147	0.257	0.301	0.188	0.052	0.057	0.179	0.673
TCGA.05.4417.01A.22R.1858.07	0	0.065	0.196	0.101	0.13	0.164	0.311	0.136	0.068	0.163	0.364	0.137	0	0.024	0.157	0.241	0.086	0.12	0.239	0.3	0.097	0.03	0.196	0.227	0.754
TCGA.05.4418.01A.01R.1206.07	0	0.008	0.187	0.106	0.12	0.16	0.312	0.187	0.061	0.153	0.39	0.116	0.057	0	0.126	0.206	0.095	0.118	0.244	0.291	0.114	0.037	0.14	0.248	0.729
TCGA.05.4420.01A.01R.1206.07	0	0.031	0.132	0.062	0.113	0.205	0.196	0.02	0.012	0.198	0.156	0.063	0.031	0.123	0.083	0.153	0.114	0.149	0.254	0.246	0.241	0.014	0.114	0.165	0.718
TCGA.05.4422.01A.01R.1206.07	0	0.034	0.198	0.11	0.101	0.092	0.291	0.222	0.078	0.152	0.392	0.113	0.039	0	0.121	0.126	0.133	0.064	0.205	0.329	0.075	0.072	0.197	0.248	0.689
TCGA.05.4424.01A.22R.1858.07	0	0.082	0.131	0.054	0.109	0.107	0.288	0.055	0.098	0.149	0.371	0.109	0	0.102	0.101	0.17	0.138	0.148	0.33	0.268	0.15	0.031	0.123	0.177	0.753
TCGA.05.4425.01A.01R.1755.07	0	0.058	0.159	0.088	0.101	0.076	0.297	0.185	0.141	0.149	0.342	0.116	0.071	0	0.139	0.28	0.053	0.088	0.273	0.338	0.082	0.051	0.177	0.174	0.733
TCGA.05.4426.01A.01R.1206.07	0.001	0.079	0.142	0.072	0.105	0.105	0.256	0.146	0.145	0.19	0.263	0.024	0.047	0.012	0.102	0.205	0.067	0.224	0.271	0.283	0.156	0.01	0.212	0.17	0.794
TCGA.05.4427.01A.21R.1858.07	0	0.048	0.215	0.087	0.087	0.163	0.298	0.155	0	0.15	0.277	0.098	0.045	0.046	0.048	0.217	0.075	0.189	0.287	0.239	0.149	0.059	0.192	0.155	0.752
TCGA.05.4430.01A.02R.1206.07	0	0.064	0.149	0.08	0.086	0.116	0.273	0.063	0.101	0.132	0.316	0.094	0.004	0.138	0.105	0.246	0.092	0.129	0.289	0.294	0.134	0.087	0.155	0.221	0.781
TCGA.05.4432.01A.01R.1206.07	0	0.053	0.183	0.1	0.092	0.143	0.28	0.166	0.064	0.17	0.339	0.092	0.024	0.098	0.08	0.193	0.116	0.119	0.216	0.328	0.113	0.046	0.15	0.211	0.724
TCGA.05.4433.01A.22R.1858.07	0	0.048	0.194	0.078	0.091	0.094	0.288	0.119	0.063	0.153	0.374	0.094	0.04	0.045	0.123	0.22	0.093	0.177	0.337	0.307	0.124	0.03	0.174	0.161	0.796
TCGA.05.4434.01A.01R.1206.07	0	0.044	0.166	0.114	0.09	0.1	0.302	0.191	0.108	0.08	0.364	0.107	0.013	0.105	0.098	0.242	0.123	0.115	0.301	0.342	0.105	0.037	0.207	0.201	0.818
TCGA.05.5420.01A.01R.1628.07	0	0	0.24	0.113	0.177	0.128	0.324	0.21	0.067	0.039	0.379	0.091	0.042	0.069	0.136	0.253	0.13	0.149	0.359	0.363	0.086	0.072	0.1	0.242	0.841
TCGA.05.5423.01A.01R.1628.07	0	0.075	0.139	0.077	0.143	0.133	0.258	0.041	0.033	0.113	0.419	0.083	0.021	0.057	0.118	0.319	0.135	0.077	0.328	0.252	0.125	0.085	0.166	0.243	0.823
