CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.2A.A8VL.01A.21R.A37L.07	0	0.01	0.246	0.098	0.081	0.116	0.166	0.075	0.284	0.161	0.215	0.004	0.059	0.091	0.214	0.041	0.043	0.056	0.032	0.321	0.129	0.051	0.145	0.129	0.538
TCGA.2A.A8VO.01A.11R.A37L.07	0.002	0.014	0.2	0.106	0.144	0.018	0.099	0.084	0.292	0.161	0.241	0.067	0.013	0.173	0.204	0.073	0.027	0.119	0.157	0.178	0.111	0.04	0.173	0.141	0.588
TCGA.2A.A8VT.01A.11R.A37L.07	0	0.042	0.256	0.036	0.071	0.118	0.232	0.136	0.291	0.146	0.173	0.034	0.047	0.046	0.137	0.104	0.055	0.099	0.165	0.263	0.149	0.091	0.139	0.144	0.671
TCGA.2A.A8VV.01A.11R.A37L.07	0	0.029	0.186	0.035	0.061	0.067	0.102	0.11	0.321	0.173	0.111	0.031	0.011	0.172	0.19	0.046	0.077	0.109	0.037	0.223	0.155	0.04	0.12	0.159	0.557
TCGA.2A.A8VX.01A.11R.A37L.07	0	0.033	0.147	0.036	0.112	0.16	0.196	0	0.305	0.151	0.057	0	0.033	0.092	0.141	0.087	0.092	0.12	0.104	0.262	0.176	0.032	0.087	0.15	0.647
TCGA.2A.A8W1.01A.11R.A37L.07	0	0	0.16	0.074	0.054	0.094	0.111	0.105	0.196	0.126	0.216	0.098	0.038	0	0.192	0.107	0.04	0.127	0.182	0.129	0.192	0.045	0.106	0.135	0.611
TCGA.2A.A8W3.01A.11R.A37L.07	0	0.014	0.235	0.034	0.065	0.097	0.139	0.084	0.295	0.145	0.195	0.035	0.036	0.113	0.224	0.111	0.066	0.12	0.148	0.27	0.149	0.062	0.103	0.12	0.652
TCGA.2A.AAYF.01A.11R.A41O.07	0	0.018	0.196	0.089	0.159	0.074	0.149	0.069	0.32	0.172	0.133	0.024	0.032	0.116	0.145	0.077	0.064	0.117	0.148	0.165	0.149	0.042	0.089	0.163	0.584
TCGA.2A.AAYO.01A.11R.A41O.07	0	0	0.243	0.056	0.131	0.098	0.223	0.145	0.286	0.123	0.348	0.148	0.001	0.171	0.203	0.074	0.152	0.045	0.168	0.289	0.04	0.033	0.193	0.239	0.721
TCGA.2A.AAYU.01A.11R.A41O.07	0.003	0.07	0.184	0.026	0.04	0.071	0.11	0.048	0.331	0.17	0.121	0.023	0.019	0.108	0.206	0.109	0.066	0.105	0.123	0.198	0.168	0.041	0.11	0.121	0.6
TCGA.4L.AA1F.01A.11R.A41O.07	0	0.012	0.369	0.084	0.113	0.084	0.241	0.219	0.268	0.068	0.37	0.086	0.005	0.157	0.219	0.189	0.098	0.173	0.328	0.363	0.04	0.024	0.2	0.107	0.9
